Year,All Majors,Accounting and Actuarial Science,Advertising and Public Relations,Aerospace Engineering,Agricultural Economics,Animal Sciences,Anthropology and Archeology,Architecture,"Area, Ethnic, and Civilization Studies",Art and Music Education,Art History and Criticism,Associates Degree,Biochemistry and Molecular Biology,"Biological, Biomedical, and Environmental Engineering",Biology,"Botany, Ecology, and Zoology",Business Management and Administration,Chemical Engineering,Chemistry,Civil Engineering,Commercial Art and Graphic Design,Communication Technologies,Communications,Composition and Speech,Computer Engineering,Computer Science,Construction Services,Criminology and Criminal Justice,Drama and Theater Arts,Early Childhood Education,Earth and Other Physical Sciences,Economics,Electrical Engineering,Elementary Education,Energy and Extraction Engineering,Engineering Technologies,English Language and Literature,Environment and Natural Resources,Family and Consumer Sciences,"Film, Video and Photographic Arts",Finance,Fine and Studio Arts,General Agriculture,General Education,General Engineering,Geography,Health and Medical Administration,High School Degree or GED,History,Hospitality Management,Human Resources and Personnel Management,Industrial and Manufacturing Engineering,International Business and Business Economics,International Relations,Journalism,Language and Drama Education,Liberal Arts,Linguistics and Foreign Languages,Marketing and Marketing Research,Mass Media,Math and Science Teacher Education,Mathematics and Statistics,Mechanical Engineering,Medical Technologies and Assistance,"Microbiology, Physiology, Genetics, and Neuroscience",Multidisciplinary Science,Music,Nursing,Operations and Logistics,Philosophy and Religious Studies,Physical and Health Education Teaching,"Physical Fitness, Nutrition, and Sports Studies",Physics,Political Science and Government,Production and Transportation Technologies,Psychology,Public Administration and Policy,Secondary Teacher Education,Social Science or History Teacher Education,Social Work,Sociology,"Some College, No Degree",Some High School,Special Needs Education,Theology and Religious Vocations,Treatment Therapy Professions
11,66531.16333,73746.64822,60450.35893,99392.70639,66379.0503,56158.02721,59862.9825,65208.20746,65800.26342,50718.90045,57866.87901,42482.21643,95206.02802,92317.29066,80252.54189,61568.53616,64430.09391,102680.7246,87248.26254,83613.29786,54285.66813,57828.94048,61263.91913,58204.15844,97981.07235,81321.94462,75272.37066,58095.37775,47160.46772,44851.08004,71237.9365,93235.62752,99223.37444,48768.30978,94774.95298,70263.53902,61317.72669,56795.54328,50328.38022,50225.13427,81339.11373,47774.25218,54503.6942,51296.1616,85414.18298,59185.52353,61876.18458,31385.62868,65430.86055,58879.29749,58878.40796,95485.19209,70948.69521,91446.594,62580.07749,56340.4234,55551.70577,60349.27812,67285.25225,54882.32492,54219.32485,82823.2521,92915.49257,61122.91056,78478.45756,70524.44819,50448.58491,66875.98094,79994.35701,65413.19275,50319.52033,57198.8124,91481.85905,85520.63364,70296.96946,58551.55665,62580.07204,52714.87484,56046.47964,47084.12989,55676.57387,36680.37072,23131.31345,53230.26927,44607.96653,65799.32204
12,68824.4,76939.03818,65479.02915,100965.486,66029.7149,58271.89452,60522.40423,67041.57011,69070.70067,51374.09703,60805.33782,43053.17417,100412.6277,98997.87886,84509.44927,65760.58121,66362.33405,106472.5735,87503.69756,87121.38695,56118.74203,57421.19787,63520.41833,59255.74591,101474.443,86029.88092,79222.06923,60288.94547,50653.83202,46305.52069,71251.66972,98013.64715,102279.6867,49888.51039,102730.0725,74976.73409,64951.53926,60944.11233,52393.45308,49898.37326,85320.28738,48056.93897,55725.21681,52818.40338,90885.51564,62819.34145,61263.90408,32112.39076,69064.67713,61445.10913,60345.66738,95465.72736,71582.50917,99109.46975,63892.16187,56056.05631,56278.4682,61841.93381,69458.28318,56276.09536,57080.88141,85684.81304,96364.99608,61836.85516,80272.63847,69449.64323,50112.77589,68694.03875,81812.40983,67230.10293,52794.16992,58271.8956,97277.6508,87520.49596,70995.6426,60196.26614,65799.3189,53089.24125,55973.15535,47810.89592,56040.18169,37700.86398,23674.77676,53883.77435,46730.74342,68799.32835
13,71366.96,79136.49772,64763.6381,105506.8656,66559.54596,59344.97752,62211.2436,69678.50696,69783.04162,52386.99357,62906.61561,44341.73774,102433.0614,103700.7184,88713.21391,70780.28883,68157.10426,105354.6877,90625.65546,90969.99758,58198.56674,60345.87287,66509.02189,62501.66953,105087.8837,88120.53578,81386.79781,62878.32639,51356.08392,47481.24779,74080.44862,103379.0637,105702.4668,51167.19677,107584.4516,79205.58585,65903.7601,63498.02104,52472.46843,53788.12275,87044.44054,50590.7676,56420.31466,53520.65528,95466.68478,65772.10693,64172.78734,32540.60502,72641.62593,62535.93844,62833.07179,92558.6763,75951.85625,97675.40021,64266.31177,56720.86882,57326.47985,64345.79796,70703.50938,57378.37229,57779.5552,88036.26682,98889.20718,63241.24841,81362.78573,70162.67182,53748.88085,70617.9475,84721.29905,67585.07932,55632.4321,57136.92997,99506.97241,89065.6259,75713.95128,61593.61354,64956.62061,53089.24312,55730.07446,49169.68086,58605.92211,39066.46226,24043.19507,55278.78545,48810.91286,69514.71537
14,73155.43667,81368.69567,65118.61672,106011.2158,69119.84881,62420.46483,60966.01824,70726.51673,75214.66869,53829.53405,63270.22661,45078.12031,98645.08159,100702.0564,90501.68083,72526.97372,69903.78901,106265.6056,97306.24371,92642.8631,59702.67513,62891.14693,66872.40649,58504.47446,107246.6518,90945.28992,84159.78575,64353.99459,54543.68695,49172.34242,73353.68473,106222.789,107542.2673,51177.50212,103415.8799,83140.22788,67847.66294,63883.54296,52738.86125,59523.22144,89335.79337,51963.60136,61501.36564,53520.65558,97264.13082,67225.63433,65071.66525,32953.61745,75201.78069,62535.93937,68658.16026,94305.36036,81075.18862,100774.2731,64097.46872,54974.18372,60619.05694,66703.30872,71794.33752,57076.64462,59233.08678,90216.55703,101630.3852,63254.98541,88158.98171,75962.12785,55716.20296,72086.58523,85350.6637,67239.3696,55996.04259,56351.86692,105587.7811,91442.04277,78580.49586,62880.6264,65311.59923,54593.35151,56444.48013,50958.15423,61456.70956,40258.80872,24173.3526,53882.18602,48810.91471,73489.7715
15,74552.78667,81368.69098,68391.11443,111003.3464,71215.868,63511.29593,63874.90535,74059.40971,76719.01021,54543.22846,65921.15438,45904.50869,102182.7651,106853.029,91569.77115,71323.5327,71334.56625,107561.1002,99402.26174,93321.45239,60664.29526,65445.05351,69157.28175,63955.20225,110104.6797,91526.24266,82413.10601,65971.46315,56290.37369,46742.19512,79483.99194,109836.0037,108826.3924,51023.07709,102862.6566,84196.92244,67120.90202,65630.22291,53217.46466,65067.48364,92606.23055,53780.51046,60283.41765,53520.65245,96731.66665,68672.8624,67980.55385,33316.99897,77418.84523,61335.8107,68644.4263,95207.56283,83255.48083,91293.34407,68183.58245,57075.45809,64252.87011,68833.02209,74323.12527,55682.87399,59447.01765,92507.91137,102886.0708,63995.48607,90934.61816,76053.78671,56065.53898,72905.46199,85677.91504,69044.29209,57125.09094,58855.72587,106472.5766,92513.87255,82400.46895,64812.8639,66396.67,58100.24895,60092.03138,52132.99889,64374.22999,41334.33656,24361.91756,54597.50213,49077.14972,74123.58473
16,75627.59,82044.83644,70904.09304,114993.6541,68507.56829,65455.19684,66669.59991,75058.58209,78137.80471,55256.92295,73205.96199,46362.63002,105044.3246,104516.9481,92606.05798,75650.66137,72759.04704,110106.3732,101731.0246,93108.94834,59148.25942,68715.48799,69360.03273,60709.28089,109899.3324,92706.01991,84593.39369,66526.11374,59582.94659,45329.81302,82345.5438,110427.6259,109037.4309,51128.21434,104680.7067,84820.36308,67752.34001,65630.22074,56292.95249,66740.36666,95051.58546,55872.9562,63222.13648,53866.41289,97621.82847,68999.90437,69434.99901,33854.90415,78560.2031,64771.3369,70097.95604,99714.79587,82906.14378,93573.43053,70460.10405,54919.68031,64379.9187,68144.49419,78887.0411,57873.17233,62385.73648,95225.4864,105066.3665,65449.92666,92043.0758,80794.9226,56779.70918,73604.13564,89508.78019,78134.56275,57890.53144,62136.8535,107899.9601,94545.68869,83491.30231,64928.79932,68692.89877,61244.27958,61839.21824,51865.69805,63301.14792,41913.8384,24725.52631,53480.94413,50894.05814,74123.5864
17,76025.7,82408.4449,72722.14606,117497.5152,64857.72791,64480.98538,67751.79662,78551.95414,77053.0269,54245.79165,71375.09059,47443.15807,108832.3051,110835.0743,92606.05745,78096.0213,74042.75509,108359.6914,100657.9412,96163.01554,60200.87387,66170.21576,72953.43146,60402.15958,109899.3333,92153.16073,84709.00453,68684.26518,57536.10323,46797.78012,87796.27335,110854.3312,109518.8915,51844.67372,108849.2783,81657.56005,67603.2052,64517.93584,56946.46095,64560.06983,96283.65991,56596.13934,63028.22356,54580.11082,97755.12798,70782.08409,69813.26164,34346.59903,79207.31493,62641.62669,68679.1597,104635.5541,82432.83829,92874.75988,70268.52756,57841.42257,64721.1598,67254.24201,78830.59995,60888.58861,62436.31338,96184.21555,105039.3114,66340.17636,92933.23914,76449.91331,57393.12172,74331.35933,94795.60884,78134.56059,59019.58532,63883.5377,107899.96,93240.64284,82770.92276,65785.23116,70510.95178,61601.9722,63292.74421,50434.91771,62095.06841,42476.41681,25120.20928,52833.35088,50775.73515,72652.39572
18,76985.14333,84651.90485,68885.45532,117473.4754,62761.71149,67146.4686,68115.40811,78796.00856,80895.73081,54580.10893,69800.44378,48424.51878,108445.8054,108159.8847,94752.22811,84661.96356,75156.25661,107655.8188,104987.0772,96163.01392,60200.87686,70872.03606,72814.7245,57495.10527,108468.6945,93604.02205,89773.62176,68507.04606,57957.55615,47400.03117,90940.2981,109927.9005,111335.7977,51985.57294,110877.2247,80964.24723,68507.19172,63272.71464,57383.16966,63096.99539,98512.97946,56607.5864,70011.38273,54864.47751,98287.58988,70238.83936,71267.70437,35073.35972,80954.00053,64182.9969,70281.82486,109184.0829,83886.36009,98309.45625,71308.82868,58601.7039,64008.13629,70489.94736,78867.37516,62705.4981,62937.77234,96717.61301,105572.1017,67230.42659,97061.85689,78545.93883,59599.48075,75694.1446,97929.69817,76329.63647,59344.98294,62784.07027,108468.6939,94350.48009,85239.00873,64354.45239,67851.34641,59549.51973,58645.43402,49260.07183,61593.61668,42824.97294,25490.58272,53151.02166,50121.23287,72367.91966
19,78092.00333,85001.23504,68158.23252,117563.2513,63723.32998,69193.64998,65464.47592,80885.7308,82057.379,54641.98864,68641.33352,49066.84488,116282.1755,101721.3869,96036.8803,86761.34931,75928.08974,111266.7511,104804.4775,97981.06759,60899.55048,67964.97939,73815.41401,67975.20975,108468.6911,95784.3176,95636.75573,68507.04449,57456.10147,47400.03322,88794.13549,110291.517,113176.744,51974.58334,112671.2452,82749.35593,69598.02457,65445.74947,54937.80668,62899.77767,100259.665,56734.63069,69168.68663,54234.34693,97002.93146,73499.50823,72799.53415,35853.92551,81601.11426,62937.76911,71735.34985,103950.0807,86774.9574,101460.639,70260.82107,59019.58341,67239.36703,69762.72569,80667.10857,62204.04342,60757.4823,95264.08998,106321.7549,70123.74715,102208.0073,76313.74565,60706.08038,75994.64069,95081.48845,71176.72689,59670.37577,62282.61559,110286.7537,96496.64354,85948.59748,65807.97539,68699.14986,57846.40459,60076.20906,49054.97827,62880.63129,43188.35285,25854.1912,54563.39332,46496.57264,74871.78266
20,79545.53333,86455.68143,69204.45467,117123.2057,67247.34142,71010.55994,67630.57125,80573.19803,87334.19981,56430.46337,67187.80782,49720.9305,118850.3404,99974.7024,98819.85372,94796.09127,76643.47471,116305.0631,108263.1962,98146.24809,60172.32714,72647.30914,74599.0767,75186.58112,109509.5542,97734.52394,104702.9768,68137.36855,62398.09403,43906.66732,88975.82351,108497.5037,113892.1291,52362.47769,114489.298,86385.46462,68518.65304,67988.81242,55357.38053,61133.453,102355.6869,57782.64487,69362.60115,54219.32496,97617.46234,69900.41741,77162.86615,36581.15312,83135.66778,64726.23841,72569.11086,102522.6883,85430.20356,99586.98513,71336.62505,60433.90767,67253.10183,71580.78721,81471.06087,66398.95885,62887.19164,96849.03783,107776.1995,70123.74584,104416.7168,77040.96383,62205.31865,76307.72009,93729.29656,72595.51954,60311.11153,63125.3139,112696.4303,96370.90997,85590.90845,65453.00202,66867.35988,59618.42138,61908.00354,50128.06355,63359.94587,43529.443,26402.4342,56653.29365,45487.70201,76058.50763
