Year,All Majors,Accounting and Actuarial Science,Advertising and Public Relations,Aerospace Engineering,Agricultural Economics,Animal Sciences,Anthropology and Archeology,Architecture,"Area, Ethnic, and Civilization Studies",Art and Music Education,Art History and Criticism,Associates Degree,Biochemistry and Molecular Biology,"Biological, Biomedical, and Environmental Engineering",Biology,"Botany, Ecology, and Zoology",Business Management and Administration,Chemical Engineering,Chemistry,Civil Engineering,Commercial Art and Graphic Design,Communication Technologies,Communications,Composition and Speech,Computer Engineering,Computer Science,Construction Services,Criminology and Criminal Justice,Drama and Theater Arts,Early Childhood Education,Earth and Other Physical Sciences,Economics,Electrical Engineering,Elementary Education,Energy and Extraction Engineering,Engineering Technologies,English Language and Literature,Environment and Natural Resources,Family and Consumer Sciences,"Film, Video and Photographic Arts",Finance,Fine and Studio Arts,General Agriculture,General Education,General Engineering,Geography,Health and Medical Administration,High School Degree or GED,History,Hospitality Management,Human Resources and Personnel Management,Industrial and Manufacturing Engineering,International Business and Business Economics,International Relations,Journalism,Language and Drama Education,Liberal Arts,Linguistics and Foreign Languages,Marketing and Marketing Research,Mass Media,Math and Science Teacher Education,Mathematics and Statistics,Mechanical Engineering,Medical Technologies and Assistance,"Microbiology, Physiology, Genetics, and Neuroscience",Multidisciplinary Science,Music,Nursing,Operations and Logistics,Philosophy and Religious Studies,Physical and Health Education Teaching,"Physical Fitness, Nutrition, and Sports Studies",Physics,Political Science and Government,Production and Transportation Technologies,Psychology,Public Administration and Policy,Secondary Teacher Education,Social Science or History Teacher Education,Social Work,Sociology,"Some College, No Degree",Some High School,Special Needs Education,Theology and Religious Vocations,Treatment Therapy Professions
11,59619.56667,67253.10194,54180.53141,95431.18625,60193.17926,51661.96031,51041.51804,59019.58085,56288.93647,47124.20266,52077.9391,37236.82151,89613.87556,89694.53569,71617.11921,57714.37033,58935.4909,99964.29762,79533.46859,79961.84769,45930.08253,54234.34534,53769.34437,50319.51751,94315.95088,78487.14786,71181.80124,54597.56959,37756.97299,39264.20455,66123.5035,86235.83541,95589.55416,45067.81727,91662.33224,65134.40663,54154.64726,53524.5704,41884.33996,43024.20953,75692.44993,39115.22411,50450.76318,48093.99526,81395.47874,53859.51683,55403.43966,24896.57214,60030.71217,50882.61223,54949.73586,88547.48616,64430.09673,82804.54904,55952.3888,51869.4495,48598.09262,53088.55528,59618.42229,49276.2903,52235.28883,73860.06398,90280.82521,54889.90522,72417.08563,60989.68374,42905.92316,60159.73284,76070.27567,57377.63096,47879.26271,52077.6571,84704.12897,76090.56616,68717.78168,52223.39001,55198.79019,50950.56467,52624.86954,42447.7945,51423.29351,31066.67405,16992.88758,49902.13177,39789.83515,54563.39256
12,61815.78333,69783.04126,56411.40037,97711.26909,60178.15503,52392.34869,51417.61129,61523.44176,58384.95698,46760.59261,54877.54471,37964.04539,95694.68155,95680.03714,75287.71142,58413.0478,61081.65837,103045.2551,81368.69219,83978.05215,48197.29233,52161.50489,56335.62548,47859.12901,99170.32691,82064.09341,74042.74449,56415.62364,39211.14141,39974.24647,65453.00638,88671.42414,98688.76473,46043.52292,95296.14962,70374.46022,55245.47617,55960.79224,42800.61253,43341.78578,79837.71311,40043.39981,51087.1365,49576.23632,86635.53278,55324.49207,55761.13156,25812.36231,62596.52382,52236.30506,56779.23495,90416.61953,66951.62539,88796.79095,57309.8382,50873.44914,48331.86104,53895.40576,62877.41075,49465.23345,54202.22245,77487.91441,93654.23998,56661.10844,75325.41758,61832.38446,42571.6211,62407.87401,78580.49926,59473.65072,50422.93782,52818.39844,90353.04504,78907.78949,69458.278,53234.59187,58692.15969,50597.48538,53700.67536,42938.36415,52416.74951,31805.47122,17580.9889,49549.28029,40323.98322,58354.26931
13,63291.45,71201.83565,57488.70393,102101.652,59967.00804,50995.00192,52519.20308,64030.50128,58495.2922,48105.82445,54178.86961,38859.27203,98542.89335,98328.91666,78543.26705,61308.40858,62405.20619,101768.6467,83612.15024,87630.18907,48253.6369,55716.31083,58141.08789,47750.3454,103499.4599,84207.61001,77619.69257,58233.67584,42491.65543,40673.60325,67961.94954,92780.83231,102460.4667,47010.83787,99423.81607,74721.30412,55256.9238,57476.27362,42687.167,44335.71222,82052.73519,41869.46806,52052.91514,50569.68909,90614.9602,58901.43728,57135.93928,26396.93954,65458.08395,55508.05296,59255.26581,90760.54346,67810.77658,85219.84766,58444.79983,50600.45955,49998.20866,56097.83903,64704.09836,50919.67568,54202.22573,80282.60613,96315.63394,55945.72233,76416.25283,62150.87482,44124.10241,63382.08419,79579.66966,58019.20437,52264.36293,52119.72502,92711.71832,79570.53621,73035.2268,53949.98106,58342.82394,50572.97321,53518.39778,43902.23643,53574.53367,32657.89808,17930.32492,50520.59996,42169.21799,58813.93902
14,64368.54667,74423.80792,58203.33632,103403.6981,62487.32766,54157.98569,51002.88149,65625.06629,61244.27356,49493.12755,52818.62794,39415.71145,95504.42116,93622.26419,80338.78563,62282.61901,63517.49072,102995.077,90863.759,87564.83154,49684.41364,55716.3125,58929.80361,46648.75505,106081.9076,86048.19922,79471.33621,59619.56596,44993.8289,42153.30867,66520.40305,96274.20373,105162.1698,47707.82753,94525.95062,78117.7492,56359.66147,56943.44659,44613.68997,47912.65889,84224.34264,43033.02139,54554.61798,50303.45508,93454.80755,60602.4103,56785.14699,26760.32317,65813.06257,53691.14398,62536.39878,92186.33297,73436.97157,91723.94425,55665.12382,49884.0023,51368.79766,56796.51502,66151.33157,51242.25635,55613.09792,82099.51487,98839.84581,56056.05915,81710.25178,67906.28881,43562.30344,63883.53949,80226.77855,58791.67988,53816.46691,52119.72753,101069.5019,82477.5911,75925.79319,54234.34898,59387.25923,51985.34311,54915.74482,44602.59572,55720.70381,33198.99621,18297.59573,50229.89549,42169.21633,61593.61422
15,65081.21667,74400.45287,59634.11445,108371.7849,65783.48014,57686.28502,51814.52947,67039.38835,64931.54911,49214.41449,52818.62617,40102.87787,99650.10169,96416.95655,81680.99915,62761.9339,64587.85342,104811.991,91468.52827,87789.16727,50678.48217,60768.884,58616.99661,50873.4491,107308.3379,86078.26009,78398.25198,61424.11505,46041.8395,42487.61003,71566.82184,100383.6102,107171.2478,47447.50975,98208.79576,77873.21295,56348.21673,58760.35564,43877.76825,52876.25071,85413.03077,43260.51473,54215.75015,50355.28388,92557.79749,63883.53968,59289.00842,27117.17037,67258.87551,53452.10708,60706.89952,91459.10839,75997.35771,83286.34598,58572.17794,52489.62462,53453.07948,58523.03407,67961.94342,51768.70056,55962.43567,83562.21909,99322.48548,55375.00375,82852.16222,69711.2113,44611.99364,64224.77949,80895.39152,59141.01491,53812.89379,53968.38802,102329.1874,81676.17988,80289.12605,55267.33812,57384.85283,54137.71365,54915.75004,46657.30409,56873.41519,34046.2116,18408.16945,51388.52141,42507.73318,59948.90223
16,65436.19333,74798.56372,61730.05471,112784.4921,64742.69528,60616.3848,55095.6571,68260.92376,67061.25932,50373.04381,55962.66242,40496.85098,102153.9617,93787.5358,82044.37754,66007.56547,65081.21382,107355.6617,93285.43807,89104.33473,50329.14503,57214.07702,57890.23136,50146.68253,106592.9488,86729.43443,77023.91898,61605.91954,43778.43306,41581.59061,74475.15646,100383.613,107035.6556,47178.86701,99560.9891,77162.47827,57802.65572,58666.73623,44595.14478,52876.24895,86774.95405,46158.41198,56004.22062,50707.90607,93497.52668,63134.63225,59344.97658,27474.86624,66540.76331,53816.46393,61988.31418,95141.95208,75980.90478,85166.42038,59618.87522,51040.44594,53646.10077,57322.90475,70120.09195,52495.91965,57750.90614,84704.13017,101139.388,57804.59015,84578.27456,71164.73845,44268.28846,65441.62714,85488.97562,66098.45938,54860.90426,55744.36773,103997.2818,82760.11954,82521.31927,55267.33379,57067.18356,55210.23815,57640.58207,45920.92249,55084.94825,34570.63489,18907.94738,51132.59362,43656.28113,60274.29785
17,65449.93,74213.5283,62132.63636,116847.863,59982.33168,60046.73813,54732.04439,68839.39039,63960.79789,49844.20677,54205.62812,41529.83027,105730.9073,101568.2481,82066.91327,66863.99731,66149.21791,105765.6232,92720.06473,91714.96454,50643.36738,60836.44943,60036.39994,52025.5465,105757.1846,86729.43371,78080.61442,63422.82584,42730.42675,42854.23133,81397.72949,99430.90529,107604.3873,47447.50826,104095.4766,75028.29445,57802.65563,58427.08891,43969.19641,52458.36401,86774.95685,47976.47095,56702.89696,52078.49501,92550.17457,62086.626,59258.58936,27838.24655,67616.56686,53114.21357,60438.85014,98956.21685,71981.18548,80409.00992,60038.45464,51489.60063,54723.40435,57701.53265,68672.85916,54257.62591,56353.55824,84340.75076,101331.5435,56675.53663,85720.19125,68681.82256,47726.72082,65796.6012,89423.61589,64281.55068,55893.89301,57482.26242,102366.8375,82396.74131,82176.02892,55630.71574,57884.54927,55987.51011,59037.92843,44871.22838,53234.59533,35346.11938,19267.43891,51434.28724,43830.95278,59344.97955
18,65813.54,75706.66388,59291.77048,115373.1451,58432.86784,60148.63144,57083.3822,70286.62477,60345.63851,51293.3796,49845.04996,42288.17558,105162.1744,101226.0651,84928.46194,68680.9072,67240.0517,104334.0717,95864.09422,90399.79863,50304.49452,58901.14981,61323.42028,51673.61313,105757.1863,87899.8929,87942.71697,62943.51371,45175.7784,42854.23416,81489.38626,98898.44039,108456.8628,47519.04974,105499.979,74525.31721,59306.76303,57750.90841,44483.49375,51352.51116,89126.41181,47748.97989,63597.9792,51720.80304,93126.29085,62427.86836,60315.22056,28529.41124,67602.14434,53532.09579,64086.40242,104388.6287,70589.85246,81107.68435,61142.56569,50416.518,54785.29107,58804.27147,67780.27511,53814.38623,56455.53405,85049.65133,102687.5626,57356.58783,85246.89409,68479.56206,48728.26858,65810.33854,91714.96932,63343.87791,55893.89151,56335.85145,104526.0677,83874.29624,85793.36139,54586.27851,57107.28312,54562.36368,57684.05075,43180.88916,52876.90153,35977.40619,19775.56733,50667.07051,44176.07983,60989.69431
19,66703.79,74979.90103,58637.68639,113091.6971,59505.95097,60711.89428,54835.24336,68701.48038,61450.20726,50875.5007,48098.36421,42787.44781,110290.2093,97861.62702,86745.36844,71963.3261,68687.2819,107513.0895,97681.00571,90175.4624,49688.45793,62819.3346,62050.18571,57124.34381,106472.5739,88598.57066,89760.76999,64224.78473,49325.03305,42456.43364,77297.34005,99360.47215,109184.0814,47608.98875,110128.4945,76615.03946,59234.65086,59976.14052,43393.34844,53099.19601,89505.80815,44841.92529,62468.92871,51004.57341,91095.73262,65680.63385,63723.32703,29209.02916,69768.7038,51071.71708,63545.48861,98543.81053,75677.1975,85104.88918,60382.02287,51775.30434,55744.36714,57801.96645,66867.35389,54579.82328,55326.48356,84576.35149,104293.4344,59219.33065,88591.87174,68479.56135,50224.78308,65449.9267,89649.03022,60022.54017,56274.89425,55318.7326,105953.46,84997.88826,85793.35915,55609.31516,57107.28244,54579.98286,57757.8477,43907.65162,54234.34705,36629.1845,20133.26257,50290.97674,42264.43219,61716.91569
20,68137.28333,76027.91047,62232.30069,111537.0126,63193.22976,62020.89438,60131.64459,69413.36419,64004.11884,52520.89651,46910.15602,43014.93595,110841.8766,97067.65239,90381.47344,79962.76823,69407.75329,111249.2938,100812.2567,91266.29313,47592.43571,61910.87798,61906.42439,53537.3576,107515.7979,90950.02129,98174.89145,63883.54432,52430.50175,39310.62086,75479.28145,98083.8627,109206.9727,47972.37294,111218.6379,80942.16704,57416.5967,62215.64581,42831.54956,53099.19666,91322.71602,43515.19284,62892.06643,49900.21639,92078.85863,66728.64377,68849.73515,29935.79342,71557.17541,50722.38542,64021.87341,96335.09082,74749.39287,83358.19952,61767.90919,52848.38755,55800.33533,60333.96811,67241.50836,57860.95184,57494.62033,86646.12196,106439.6008,60673.77528,89907.03908,67915.36804,48862.36979,65990.84019,88580.93267,63315.11476,55969.1259,53865.20241,109002.1905,84917.65816,85066.13823,55257.37932,55972.24791,54154.64788,59504.53136,44241.95732,53677.82433,37157.89398,20500.99686,51006.74919,42660.71632,63488.93249
