Year,All Majors,Accounting and Actuarial Science,Advertising and Public Relations,Aerospace Engineering,Agricultural Economics,Animal Sciences,Anthropology and Archeology,Architecture,"Area, Ethnic, and Civilization Studies",Art and Music Education,Art History and Criticism,Associates Degree,Biochemistry and Molecular Biology,"Biological, Biomedical, and Environmental Engineering",Biology,"Botany, Ecology, and Zoology",Business Management and Administration,Chemical Engineering,Chemistry,Civil Engineering,Commercial Art and Graphic Design,Communication Technologies,Communications,Composition and Speech,Computer Engineering,Computer Science,Construction Services,Criminology and Criminal Justice,Drama and Theater Arts,Early Childhood Education,Earth and Other Physical Sciences,Economics,Electrical Engineering,Elementary Education,Energy and Extraction Engineering,Engineering Technologies,English Language and Literature,Environment and Natural Resources,Family and Consumer Sciences,"Film, Video and Photographic Arts",Finance,Fine and Studio Arts,General Agriculture,General Education,General Engineering,Geography,Health and Medical Administration,High School Degree or GED,History,Hospitality Management,Human Resources and Personnel Management,Industrial and Manufacturing Engineering,International Business and Business Economics,International Relations,Journalism,Language and Drama Education,Liberal Arts,Linguistics and Foreign Languages,Marketing and Marketing Research,Mass Media,Math and Science Teacher Education,Mathematics and Statistics,Mechanical Engineering,Medical Technologies and Assistance,"Microbiology, Physiology, Genetics, and Neuroscience",Multidisciplinary Science,Music,Nursing,Operations and Logistics,Philosophy and Religious Studies,Physical and Health Education Teaching,"Physical Fitness, Nutrition, and Sports Studies",Physics,Political Science and Government,Production and Transportation Technologies,Psychology,Public Administration and Policy,Secondary Teacher Education,Social Science or History Teacher Education,Social Work,Sociology,"Some College, No Degree",Some High School,Special Needs Education,Theology and Religious Vocations,Treatment Therapy Professions
11,53223.14392,62222.38052,53078.25141,81317.28888,56697.72574,43751.84588,41963.02728,53256.90645,49873.84395,41335.88933,41071.2997,37236.82151,60191.99964,73421.43554,49985.1479,42054.98993,54973.01611,93288.35543,54245.79251,73168.67337,45427.1935,53592.28481,51701.84515,43497.7945,90476.61001,72742.328,71181.80124,52556.22382,34254.62764,33821.43302,56607.58392,73402.84166,83082.40596,37592.65025,86866.5605,61023.11416,46131.90213,49804.36574,37318.51718,41007.62928,68977.11189,36972.88715,47458.34405,40169.39013,77318.44681,50331.81796,50158.12861,24896.57214,49817.89264,47464.15093,52386.9963,77728.96726,57822.73847,63681.59411,51634.8006,40857.28064,43069.90114,44457.09198,57509.47827,46512.8725,43340.52901,59367.34686,80724.6994,48135.16117,53718.81357,54233.59264,40419.47125,55960.79592,72113.33706,44490.47745,41016.67612,46733.45302,68315.77425,56353.55938,66112.12947,43024.09433,47269.39893,43180.88684,43044.01698,36345.73359,46268.57336,31066.67405,16992.88758,38557.43774,34923.80459,47280.16113
12,54234.34579,63279.01032,56035.88347,83941.1845,56697.72633,43053.17673,43062.33231,59619.12997,51271.18699,39400.73964,45431.88211,37964.04539,65540.83626,83978.04821,52430.50381,43557.30802,56301.81998,94724.77736,60115.97325,77076.44973,47931.05801,52161.50489,54147.20611,43270.30066,92748.50479,75692.45111,74042.74449,54440.77383,35376.17095,35155.2588,56607.58278,74821.63541,84900.94192,37519.97549,88200.04619,65822.16899,46245.34464,51344.35551,38561.61213,42589.02897,71126.00098,37322.2206,47453.19531,40693.39818,79119.33251,52064.97343,49067.9869,25812.36231,51635.19818,49645.81161,54934.33224,80192.41316,60602.41221,62419.32991,51271.19162,39758.89405,43905.67621,45683.12435,59780.16477,47976.70095,40478.58915,63893.70439,83170.06036,49952.0687,53661.56406,50961.10075,39917.06882,58504.46743,74680.69129,47352.03273,42326.41157,48197.28148,76581.95315,60007.40459,66497.65181,44785.81086,49100.97479,43668.78431,43378.32051,37080.27799,46714.06447,31805.47122,17580.9889,38557.44012,35832.5634,49862.39327
13,54592.04125,63279.01106,56346.4553,91208.8243,56289.45767,44342.86011,42323.55674,62898.56753,47646.52523,41582.4055,45221.26913,38859.27203,63359.17,87630.18513,56077.37066,47179.8943,58033.48313,91714.04447,64828.49193,80838.94822,48296.00454,55236.99131,54860.90327,46904.12035,96891.51694,76675.5931,77619.69257,54866.26444,38732.66481,34820.88944,57655.5959,81375.74481,88120.18868,37877.66807,84929.60822,68814.08339,45155.1992,53161.26634,37303.9997,43543.28622,72872.68626,38502.40905,49921.28805,40872.19819,80260.69319,55582.85638,50884.89351,26396.93954,54496.54214,52307.96417,56694.54122,82027.637,62683.41301,63664.55611,51271.19348,39782.28145,44814.69845,45051.102,60870.99586,49441.67259,40251.09461,70850.50765,85005.2842,49831.02283,56590.76164,52077.65936,41933.03368,59231.23363,75608.49579,48222.87952,42161.447,48524.4043,79064.08655,61410.35429,70823.50344,45635.40616,49506.65701,45764.80357,41720.04718,38171.11189,47695.42444,32657.89808,17930.32492,39057.02532,38748.31765,51669.00079
14,55330.70986,65422.45938,56664.12799,95063.23359,60326.07226,47240.759,43050.78118,64010.85206,50191.79998,41963.48597,45611.83239,39415.71145,65334.98712,82994.90289,58191.23894,47407.38759,58033.48404,92234.67978,68464.6026,79448.58573,48898.2542,53580.08944,55563.1522,45332.10382,100315.1141,78907.79105,79851.89052,56515.7244,40805.39836,33730.74622,56261.82424,81398.27953,91188.63444,38154.6341,83111.55692,73904.63478,46702.35164,53495.58185,39506.09487,46582.51546,73855.83069,39550.41965,48873.28143,41019.46148,81380.55377,55225.15751,49794.06351,26760.32317,53381.88427,51502.18593,57043.87474,85696.19262,66674.49542,71608.02976,50986.82798,40272.85184,46268.22717,47481.25252,61727.42883,50263.17395,39916.79004,71763.43589,86823.34164,50180.35832,59123.44828,57154.6808,40707.0005,59898.24416,76733.897,49898.37444,43723.7568,48524.40623,86713.65036,66530.20228,72700.5395,46292.98945,50688.94738,44537.78326,42730.2633,38542.73484,49502.02973,33198.99621,18297.59573,40899.8263,38691.49622,56246.80285
15,56363.699,65436.19249,58080.35679,100900.238,64675.66525,52175.04231,44602.5985,62206.53301,50894.05283,41764.42697,41023.7556,40102.87787,72266.5917,74502.64633,58904.93335,48681.92449,59545.76814,95122.50384,65669.90929,80994.96951,49539.92386,60733.97589,54530.15792,50936.52447,102335.5509,78871.01614,78551.46754,57186.9831,42901.42315,34201.78426,60247.57486,81398.28148,93983.32697,38928.17601,82504.83643,72948.28662,47316.12641,56318.91945,37179.72347,49741.57746,76090.56169,40433.46824,49963.42433,41581.25673,81761.33728,55940.93556,52337.73346,27117.17037,54824.94405,50860.51071,54845.87841,81779.22372,67530.92703,63558.25187,54667.06329,42953.39755,48532.18112,47845.62196,63631.87463,49620.85194,44700.08196,72691.24121,89084.63509,49478.10672,62909.33227,62245.22797,41434.22187,60145.69187,76739.26477,48449.20084,44917.8797,49251.63162,80096.5411,64741.7335,76691.62546,46585.98115,50688.94861,44059.04282,38052.10486,39261.71529,50510.06517,34046.2116,18408.16945,41217.41333,39213.51541,57309.83206
16,57743.90016,66525.73213,59167.13215,104823.7885,66013.25807,52660.9545,47720.08586,63637.31126,56022.82057,41873.63671,46696.08521,40496.85098,70390.70063,67230.42739,57494.62387,45431.1902,59664.4561,96316.32751,64238.51826,82887.2138,48729.01835,57939.27969,54518.70839,50680.59668,101336.5747,80682.56697,77161.10742,58617.76139,42183.35752,33874.74274,62879.24135,78472.90856,95718.28901,38427.40256,87975.02609,72294.82072,48951.34522,56330.3639,37166.19669,50575.79325,77073.70696,43903.30829,49999.19275,42662.92731,82766.13992,55342.92344,52439.49843,27474.86624,54211.53076,51357.42204,55544.55617,80637.31197,67530.92673,63744.41343,56873.41693,40251.8578,50532.04372,48221.71466,65436.1915,49972.78647,46017.71963,72756.10674,90883.22743,52818.39966,59980.137,64346.49985,40816.47308,61612.4933,81720.12451,52500.73775,46130.85395,51010.49151,79448.94705,67988.81374,78906.6456,46108.92905,49556.04321,43251.58317,42617.43061,38747.85498,49783.30169,34570.63489,18907.94738,40717.82409,40347.93238,57309.82779
17,58509.34002,67243.83747,57838.3313,108758.4299,60928.6295,51314.87565,45893.55623,63978.55236,49470.50532,41333.73479,46305.52319,41529.83027,75463.16655,59139.33264,58949.06342,47985.62431,62196.22134,95225.49159,62771.25568,86445.44735,49455.78393,61414.23763,54949.73368,49981.92302,99518.52848,81358.70809,77161.10455,60747.47119,41920.43681,34208.85657,71259.74944,79563.73967,96304.2696,38849.30682,91108.24345,70455.82183,48884.69512,55996.0535,35420.86328,51029.92863,77073.70786,45513.11587,52780.36036,43378.32013,78802.39176,55610.23121,53592.2113,27838.24655,56101.76463,50640.96086,55573.85142,82837.05903,63539.84499,60955.73459,56976.09061,40197.0169,51040.7787,45684.25931,65081.21356,49972.78377,45852.75588,72192.51412,90864.90852,52430.50422,59253.36995,62762.84694,44460.82233,63009.83966,84939.73968,48589.48854,48202.35903,52441.27161,77267.28086,67247.17,79960.01778,46770.59074,50271.43256,47273.29775,43424.12511,38739.6152,49067.52834,35346.11938,19267.43891,40126.95471,41282.22198,54949.73368
18,58969.01353,69047.01556,54215.74765,108008.7766,58798.92196,49873.9546,45432.56706,67230.10262,48391.11964,43486.57655,45971.22009,42288.17558,75518.29892,67872.74851,59982.05349,46905.78495,62932.07976,94519.32873,61446.02308,85700.36844,49092.17756,56764.21159,56442.39951,48250.26305,102244.4922,83142.16821,84147.83965,61838.29967,41443.38358,32384.39126,70752.34341,81795.93202,97568.3179,38766.18806,90305.88956,69943.30913,50691.75928,55996.05167,36739.32818,49915.26994,78415.92391,44422.96686,55250.23683,42467.18382,76206.5832,57427.1407,53592.21107,28529.41124,56158.0277,51296.16084,58717.88069,86107.49414,65357.89865,63374.05022,58620.80537,38251.24446,48958.28632,47780.27741,64726.24069,49972.78321,43978.35638,72556.12313,91435.10623,53871.42279,55608.63004,60944.79538,45347.35966,62795.90906,86756.6419,45587.69019,48462.67713,52119.72992,84339.37202,71181.80707,84304.57112,45352.50672,48185.45425,46321.25962,49056.53797,38177.18023,49430.91126,35977.40619,19775.56733,39250.4259,41858.81706,55982.72375
19,59344.98349,67957.47421,52818.40226,101784.8916,57824.70883,48834.73849,44352.03527,66869.69078,49464.20038,43476.53577,42897.22236,42787.44781,83131.85689,65691.08314,58835.63869,50442.67496,64362.85636,99962.90555,62691.25256,86409.272,47986.31387,60401.60511,56817.4569,53615.67649,101895.1553,84509.45195,85981.91978,62775.97624,43988.6607,32589.0348,67104.33171,85326.07551,97951.99837,39266.96367,93633.98467,71595.94476,50364.71477,55984.60327,35272.77924,54168.40182,77432.77755,41227.10517,54832.35793,41749.12352,75185.29692,60315.08105,55738.37728,29209.02916,58283.72897,49549.47623,59765.88802,85431.35049,69442.94541,65283.9138,58206.84248,37887.63581,48947.29673,49150.8678,64376.36613,49609.39947,42326.41415,71508.11352,91987.9626,56946.9122,59783.05261,59139.33716,43058.0569,62452.76383,84341.346,46326.81043,49793.37759,51005.06985,84241.51341,70493.28332,82503.68631,46877.57106,49719.5262,48501.55481,45921.99162,39418.26226,50224.32323,36629.1845,20133.26257,39599.76692,39633.56794,57376.50011
20,59723.72157,68129.61726,56750.3208,99996.41663,60008.57547,49646.38418,52010.88662,68686.60291,52380.40891,44578.23464,43024.93523,43014.93595,77131.58485,82166.26109,57005.22665,51169.89257,64385.00029,105394.1756,62254.07399,86484.86159,46306.27549,61297.46649,57113.19819,54913.85042,100610.4983,85557.45801,95799.40539,61698.87771,45214.69516,31484.232,60916.93019,84218.07525,97224.77246,38425.85579,95064.76578,75616.60734,49822.63098,58550.34315,35200.29102,54168.40247,79249.69348,41014.64481,56592.56796,41249.85038,78455.73885,62449.66178,55676.49632,29935.79342,60767.12164,48907.15368,59402.27917,81772.70656,69797.92156,68055.87885,58104.16867,37608.16844,50279.98468,50331.25459,64717.60711,54602.00768,44587.39697,73161.8446,96104.41779,57752.69072,65233.77689,57136.93196,40140.47192,62452.76731,82541.60558,52265.53877,48769.88393,50587.18561,88411.02068,70850.37038,82498.32186,46285.54491,50366.37123,47104.2076,49568.39827,39571.2106,48406.26905,37157.89398,20500.99686,39836.41391,40487.7513,60238.05269
