Year,All Majors,Advertising and Public Relations,Aerospace Engineering,Agricultural Economics,Animal Sciences,Anthropology and Archeology,Architecture,"Area, Ethnic, and Civilization Studies",Art and Music Education,Art History and Criticism,Associates Degree,Biochemistry and Molecular Biology,"Biological, Biomedical, and Environmental Engineering",Biology,"Botany, Ecology, and Zoology",Business Management and Administration,Chemical Engineering,Chemistry,Civil Engineering,Commercial Art and Graphic Design,Communication Technologies,Communications,Composition and Speech,Computer Engineering,Computer Science,Construction Services,Criminology and Criminal Justice,Drama and Theater Arts,Early Childhood Education,Earth and Other Physical Sciences,Economics,Electrical Engineering,Elementary Education,Energy and Extraction Engineering,Engineering Technologies,English Language and Literature,Environment and Natural Resources,Family and Consumer Sciences,"Film, Video and Photographic Arts",Finance,Fine and Studio Arts,General Agriculture,General Education,General Engineering,Geography,Health and Medical Administration,High School Degree or GED,History,Hospitality Management,Human Resources and Personnel Management,Industrial and Manufacturing Engineering,International Business and Business Economics,International Relations,Journalism,Language and Drama Education,Liberal Arts,Linguistics and Foreign Languages,Marketing and Marketing Research,Mass Media,Math and Science Teacher Education,Mathematics and Statistics,Mechanical Engineering,Medical Technologies and Assistance,"Microbiology, Physiology, Genetics, and Neuroscience",Multidisciplinary Science,Music,Nursing,Operations and Logistics,Philosophy and Religious Studies,Physical and Health Education Teaching,"Physical Fitness, Nutrition, and Sports Studies",Physics,Political Science and Government,Production and Transportation Technologies,Psychology,Public Administration and Policy,Secondary Teacher Education,Social Science or History Teacher Education,Social Work,Sociology,"Some College, No Degree",Some High School,Special Needs Education,Theology and Religious Vocations,Treatment Therapy Professions
21,71962.14667,70596.1633,109023.123,63977.33768,60836.43639,63517.26018,79563.05362,65570.13347,49749.16759,57919.12221,50811.07773,95113.51774,75066.55215,68131.90624,68560.05766,72783.36076,110749.9965,74956.76705,93668.51258,56069.75888,64300.74985,71843.17909,67726.48325,108267.3571,90981.82469,95513.93664,65808.43478,58929.80009,38450.60428,72358.53703,93868.48514,103114.6721,44587.918,102252.4344,81340.61134,63309.65448,64382.28211,46360.84081,67243.83839,86121.47976,56318.45638,57309.83791,47315.27402,90365.53562,71833.66079,65711.73754,37165.68405,69070.92259,62292.29439,66185.78643,94053.55366,82452.93118,90902.82095,68109.01923,50017.03679,60681.0067,61494.34153,80000.37802,67153.58194,53000.028,85529.38552,102123.6062,66348.89418,79603.34139,61754.09053,56698.31627,72392.99255,86984.86496,67974.5307,56438.82329,57505.47128,99049.93118,81335.3587,83406.29768,57380.0633,58765.95642,52651.8472,58986.26702,45564.44048,58444.79704,43879.56014,26395.67213,49821.86139,44143.54792,72450.20103
22,72325.75667,76388.1364,112244.5308,63977.33567,58045.31394,72316.63896,75912.06654,65556.39727,48741.79345,54684.84467,51527.53895,89659.35586,77995.72732,69920.38015,63340.30241,72402.30735,113682.2319,77392.35652,96167.38041,58271.88974,67934.56567,70566.03084,57964.95974,110062.2877,91569.77353,97860.77118,67966.58776,58645.43888,36838.4402,74524.17105,95399.13046,104998.4495,44295.0892,102229.5449,80325.00849,63309.65676,64723.52504,46360.84009,66888.8625,87483.40232,55984.14096,60602.41804,48012.263,93858.90116,68199.84554,66075.12166,37480.08993,70146.8778,61709.54934,65458.56581,94582.43931,86833.20455,85394.61124,69182.1021,51010.49346,61846.96923,60347.9302,79619.59872,68694.95568,53363.63508,86572.03441,101376.0062,67241.47672,76309.54682,65247.45974,52422.43812,71908.57,89944.82928,69422.11922,58280.94761,60037.00938,101379.0198,80250.54189,81032.79135,55574.59804,58153.67355,52367.48598,60034.27208,44611.17434,57014.02478,44382.42054,26751.77257,49821.86511,46158.87529,72677.53923
23,72813.80333,73168.88187,110817.1431,63691.18365,63582.87234,64097.84273,75929.23566,65051.63276,46289.75786,61506.99408,51261.37178,94899.41268,64115.87194,69157.28386,62574.86099,73508.25533,113324.537,77392.35619,96874.45752,56442.38805,61786.11582,68699.14393,61115.78174,111466.7896,91212.08124,94367.40229,69771.51517,55357.38361,40352.06887,74144.76535,95302.61006,106786.9228,45031.69942,108795.1388,77779.73042,65455.82022,67360.46126,45185.11303,64385.00388,88090.12395,54543.22354,61103.87048,48942.26553,96357.77579,70859.45449,63928.95425,37835.6818,66162.2689,61658.96707,64722.7123,95824.37959,89065.40161,81758.5121,73920.69864,51282.64181,61616.32334,58204.48004,81801.26236,65772.10553,52664.9566,88457.79969,101613.3279,66740.01792,72466.84268,66526.11397,53512.57901,72656.73529,92801.40113,65672.36906,58175.50621,57856.71814,101015.6353,78462.07448,80969.30267,54603.48892,57790.29188,49957.0655,53841.89267,44847.82633,56014.26834,44972.31246,26751.77389,46888.0677,47874.60643,69275.82539
24,72905.46,70518.20931,108022.4465,65508.0944,61479.18088,61555.76007,79979.4814,66514.7078,47102.52931,62937.77,51272.3582,84368.48428,75562.09465,67759.9439,61684.61155,73416.59118,113916.1663,79232.62122,97601.22683,59277.56198,66862.24377,68536.1194,58572.10682,107378.4081,93533.02228,90731.29363,68317.06928,55295.42812,41678.7934,74129.88221,96582.23146,108023.7255,45037.7412,110541.8181,77416.34337,65425.17637,66168.68355,47621.30377,62994.64289,91723.94883,53532.09483,63669.60744,48243.59406,95073.12071,65095.92152,66169.00152,37977.91514,64331.16632,61048.13543,63631.87877,96818.87587,84042.91846,79904.83297,73415.93452,52330.6533,61971.29841,56386.42349,80704.41644,63642.39242,49198.3493,87546.51191,101255.6288,65663.37643,70086.34536,66153.86413,55318.72854,72656.73512,93636.79489,62379.78756,55967.45944,57856.71719,101573.0653,76984.52545,78886.63056,55694.31985,57074.97909,49967.3694,55170.69393,43033.79091,52171.56484,45571.81906,27042.66283,47212.89299,48137.75509,68548.59712
25,73360.73,65081.21678,106352.1917,69975.67094,61824.93989,56452.16508,82559.92579,68346.5022,47197.26778,62887.18831,51635.73746,89804.32703,81151.48296,66518.02774,58893.48648,73812.97933,113265.3779,78564.00685,99929.99646,59992.94942,61048.13818,69071.01462,63352.16134,102869.3517,94248.41239,84292.79855,66158.91475,57083.89636,44949.2305,75946.79575,93787.53376,108592.4609,46039.28595,113192.334,78143.10693,64711.68987,65827.43908,47978.99765,61531.56346,95596.7203,54259.31641,60377.02694,48619.68894,94539.72327,66912.83544,65442.24131,38155.0806,62514.25642,62501.66631,67223.37033,98252.71302,76022.53266,78888.19742,73903.9778,49785.37917,60028.06309,56732.18251,80349.71159,63498.36822,54639.23402,92158.11469,104547.0091,62762.61746,74833.66299,68152.95967,53511.8572,73360.13999,92890.56779,65292.7787,54483.03225,53979.82041,102288.4567,77342.11786,83777.34331,56377.97109,55676.501,49161.58774,54836.37897,42906.07474,51474.79887,45929.86672,27050.17793,48747.11389,54692.8166,67833.21097
26,73617.11333,69435.9139,104954.8426,74963.64595,58753.02749,57814.57955,80725.83958,66172.5108,49701.13157,59249.79533,52362.47687,85274.67166,91537.97299,69867.36613,61447.39484,73876.08244,115704.6418,75913.33558,101933.3726,61037.39073,63475.87822,69056.13132,58736.98718,100512.1473,96682.04123,80266.0282,64728.14139,56749.57731,42169.68667,80670.75635,93284.64701,109184.088,46029.43614,117555.6604,78853.84598,64331.8545,66054.77351,51319.28911,66395.51914,96633.00286,54677.20208,59661.63931,48528.22653,91436.08411,67616.24038,64726.85302,38222.44603,64681.95607,68315.77142,70844.13608,100412.623,73113.64615,,70410.60459,48779.44355,59670.36831,55301.40828,77061.64551,61244.27396,55057.11969,93479.87152,103499.0021,62762.6186,78327.0294,70093.55198,52082.84557,72981.6508,90156.4518,62932.68248,54592.05026,54053.1512,105682.7996,84138.30732,85663.10644,57031.40881,57740.85876,51257.60277,58354.26583,43623.67546,53518.99544,46422.06465,27198.08487,50978.66303,55132.00576,72325.75431
27,73486.76,65517.72952,106359.342,77166.66442,57014.01178,53814.86774,80252.5442,63606.6971,51070.02745,65688.30403,52714.86843,88545.11404,85859.47212,70915.37492,61433.65819,73860.74479,117770.6203,76004.62035,103045.2614,59632.99784,58751.91395,69041.92999,64189.16944,102511.6565,95934.67635,89700.22025,66531.78143,61852.03683,40842.96006,89775.89994,89791.28307,108468.6999,46268.3058,119651.6783,82032.68557,61788.1808,67102.78427,49570.68975,59127.88688,93017.49565,54234.80072,63019.60478,49270.37135,90399.80198,72396.62403,68076.19464,38429.54949,66503.94807,71216.53479,73481.07041,102159.31,73775.54926,,69690.13008,46990.68461,59315.39487,56430.45991,77005.20222,61832.61738,56427.7075,96731.30729,105856.2123,63112.4944,79594.02653,69964.34309,51356.08483,71562.85787,91453.87532,68867.83734,56442.40197,55791.04578,103482.3636,82122.49021,83867.57944,58720.24823,61376.96091,52779.8421,57309.83012,44114.24189,55297.33823,46797.22841,27480.59157,49561.46785,54868.8565,73780.20388
28,73016.38,72771.6293,111550.3886,73673.30309,59211.92294,54563.76882,80959.47648,57050.93661,54609.10754,62417.86518,53018.85808,82004.24245,80960.07215,71800.20455,65067.47564,74537.43653,117076.0527,76673.23259,101248.9586,59633.00104,59491.50123,67966.12721,62467.88215,107747.4792,96255.57353,86611.32371,66174.08939,57898.99572,40852.11754,89349.35208,88130.68565,107899.9618,46956.93744,120836.7122,82679.22338,58583.48164,71093.87466,50583.58661,57014.02035,89618.02253,53283.30427,66667.16101,49536.60313,88218.13265,74229.55603,69908.66244,38574.90251,64336.01489,72321.55761,72434.85031,102179.9138,74145.22749,,66698.22232,48808.73478,61497.06598,56430.46526,75258.52144,62703.40364,54914.42748,96015.92044,106562.0313,64224.7811,75562.09598,67845.03912,52948.34331,72042.55022,88910.20698,63092.93301,56380.51703,56822.84257,104073.9854,80253.90824,79960.0087,59069.58909,64596.21152,53585.61914,59041.49933,44114.24105,56278.46634,47068.06325,27690.37439,49588.22668,49791.83435,71617.57845
29,72061.32333,71408.84509,114375.1272,71508.1252,58790.46443,58173.07586,80561.36776,54155.32693,55605.28362,59014.94297,53018.85819,82487.66485,73099.98802,70282.65648,66135.48297,73838.76591,113417.0537,85031.01195,102551.002,57886.31275,57744.8143,65450.28082,58834.77372,110430.1818,95252.71896,89156.59562,67604.85862,56530.10402,44488.22403,89956.07568,83926.91858,107150.3093,46966.78402,120126.7661,83769.36855,58960.5952,71865.71386,48314.21957,54961.57116,89654.82474,52411.28797,66881.09686,50640.9615,88473.56465,74252.91375,71339.44287,38879.16158,62200.61393,64769.56203,72813.7991,98201.95023,75220.03057,,66168.38815,49960.11358,63626.78132,58550.24755,76728.52951,63517.01797,53340.56823,97063.93691,110831.4418,64224.78461,73466.07409,69048.48048,55743.0368,73461.34484,89981.57497,62019.84911,55919.26692,56022.74946,91912.3731,74565.53377,78836.4082,59081.49484,61816.53832,56515.71841,60973.73322,44816.90445,57095.82486,47173.93529,27900.1607,48217.64068,47990.23376,70269.06474
30,72100.02,82139.68337,118814.1169,69412.10189,58790.46915,64354.45562,80561.36765,58879.29456,55593.83904,51145.65619,53097.87734,80307.37437,74092.69525,70162.45289,67039.47344,74644.43774,116910.4264,86029.87528,103777.4255,57097.59813,,65455.36386,,109025.6837,94036.8384,88429.82528,67961.93977,51098.08255,43408.46622,86925.09327,88684.3329,108809.1828,47620.87047,123069.0697,81354.06582,59962.89599,76705.60922,50549.04083,53336.77163,89654.8272,53149.50055,62048.22532,50998.65743,89904.34423,73782.53259,69807.01127,39188.3892,61482.50374,61780.9543,75994.63528,93243.06556,73510.11794,,66173.47119,47541.7965,61424.34778,58512.03248,77532.47829,64717.146,53425.06663,92248.37526,110854.3312,65672.01754,70945.75706,70995.74955,52118.373,75278.2527,91208.82365,56096.14251,55561.57513,58943.998,96658.08499,75150.56986,80210.74157,56721.40048,59673.0961,57538.75303,55523.00241,47277.29145,57822.58903,47247.27343,27900.1656,48554.99132,47389.97264,68963.37484
31,71751.52,74173.10897,125346.7164,69164.6532,56258.25076,61061.87802,84058.20125,68000.60988,51933.50176,57685.92235,53236.28668,83230.45793,75149.38867,70904.1027,68129.01144,75058.58026,116685.6547,86503.17612,105287.4644,53805.02054,,68000.64264,,119456.5083,93000.55117,94155.94298,70108.10769,53194.10249,46748.75683,91932.81045,87520.17445,109377.9163,48363.02195,121050.4256,81354.0653,63539.84083,76689.58332,48534.60296,60904.80291,87035.35897,53010.16154,62411.8339,52103.01259,91583.12681,69791.44587,67258.54513,39599.4763,63650.43734,,72358.53124,89606.95605,72074.87084,,68710.10844,47541.79308,61424.34582,60957.39297,77816.95377,60356.56507,55323.86975,91496.18571,109449.8382,66390.60344,72450.73039,70611.19392,52690.68104,75912.06545,91572.20259,57524.20381,55550.1301,59301.68879,90821.08725,73866.8659,85178.04848,56779.24416,56761.49436,58611.83333,50282.94498,48453.01899,59915.03263,47579.12936,28032.20374,51416.53987,44458.40188,70780.28787
32,71402.18333,78790.07205,132618.9291,73113.29063,55213.8175,58154.82018,89423.61741,69442.68681,50536.16026,58185.36025,53902.19877,83783.32232,81612.12793,71373.64,66688.75511,76041.72913,119693.8665,84289.43913,104938.123,55551.70619,,68555.55268,,119153.8972,90859.37658,93408.12277,68303.18075,56055.65458,45784.88397,86567.39367,88573.5525,108309.5119,49090.24815,121732.903,81371.23752,63526.10414,74856.64616,49552.04104,60892.89828,83505.19618,51269.1058,63254.52442,52103.01172,89509.64124,69791.44332,70835.48693,40101.87955,67942.77351,,71267.70654,88152.51148,73465.22736,,70986.62874,49566.11085,56755.00042,62411.83532,77073.71221,57086.24015,60089.15118,90797.50629,105180.422,65818.97155,76293.44208,68864.51516,52051.76067,76310.17934,87234.35531,55767.94379,58802.4994,59744.08752,98254.08793,72830.59068,82320.24413,56403.95192,61287.857,55392.58891,47376.50243,49930.64544,58064.68416,47815.27758,28325.42311,52847.31545,44939.29907,69033.6009
33,69932.71,76374.77565,133762.1823,72279.52952,58152.53609,54507.26904,86260.80798,67831.08936,51274.82134,56359.90084,53902.19253,84840.01144,86417.96269,71010.02749,70182.12359,75343.05485,114453.8079,82472.52962,101166.4231,54835.92821,,67679.6856,,120581.2838,90501.67524,93790.9682,66013.24834,56804.86553,46001.00353,83073.67928,84484.75372,106650.6386,49572.97266,116282.1677,83428.84196,62535.93957,73418.4623,49612.22654,66883.35743,82363.28131,50904.74656,63254.525,53099.18947,88562.28426,65806.83246,69392.73033,40101.88455,67942.77126,,68086.86915,88939.43289,69971.85628,,69913.54542,52857.09527,57481.76472,60255.52065,75912.06677,59244.39185,61809.18204,90907.19157,104067.3881,64371.74085,75450.73951,65592.01471,57180.53167,75598.98132,88153.27553,58547.61596,57673.44632,58769.19648,92799.93265,73228.70235,78385.61195,56336.30898,61287.85485,56847.03275,54656.72859,49514.66496,56611.16187,48273.07396,28800.33249,54650.34413,45175.94962,69942.8982
34,68832.76333,81471.06297,121323.1504,75186.58023,54995.16165,60303.70622,82683.86338,54349.19076,53142.76762,50584.96187,53902.19244,89433.58779,83907.7444,71828.90659,65470.21496,73525.00173,113584.6743,83077.30438,101865.0991,54520.12151,,65134.40799,,101065.9086,90143.97688,,64202.6309,56106.19579,42651.55041,79185.8196,84484.75357,106439.6038,49123.81854,119977.3287,81640.36632,62163.6936,74808.81801,50927.98723,59315.32645,88598.25432,51952.01639,61072.8623,53517.07381,87886.81642,65806.83234,72367.92485,40054.17912,68846.7577,,70617.94672,93473.85098,69795.50844,,67718.14563,53220.71155,56742.18382,55391.55833,74821.91831,64131.52938,60346.10476,87413.82599,102756.9778,63653.15532,73617.11684,64699.42928,62915.6241,75314.50733,87789.90009,54911.50824,57389.07983,59126.89254,95728.04474,73108.49571,72691.54538,55245.47314,62378.68456,56054.74809,57869.30732,50873.45028,55257.38778,48370.45492,28822.1165,53159.3868,43439.77765,67784.74698
35,67784.75,,124202.7315,68898.51336,55247.33675,61450.11612,83167.28962,60163.29853,54595.12723,54996.12429,53654.16558,85893.44451,79231.8835,71479.57708,65842.46311,71722.97228,112417.4068,82378.62524,100118.4184,52773.43766,,68928.27475,,100474.2912,91569.76346,,64216.37315,51454.48985,44623.27929,86124.81238,82320.25561,106417.8563,49494.56183,105442.0571,79079.51716,60033.98513,74082.05964,50647.37589,57409.95177,91055.33655,54147.20665,59531.49467,53934.95992,89686.55259,63279.61141,72766.03479,39736.59276,65483.74869,,68444.90787,92331.94024,67771.34357,,66320.79876,52574.42626,58504.46706,51235.27579,73140.09978,65889.57014,56439.29254,86124.65941,103414.323,64368.54299,70708.78064,63809.17611,60676.96214,75379.36522,88511.10735,61307.03409,55700.23551,59126.89439,94733.54581,71778.31473,74873.21683,58174.6697,61330.66844,56412.44387,57914.19739,51315.85281,55242.35989,48370.44718,28528.89734,53801.45199,40461.60537,70879.94443
36,66900.52333,,121552.2699,66004.50882,54906.09883,68370.16306,82753.14643,62608.65246,53503.555,55654.88301,53585.62815,93229.52055,81973.3988,71458.62783,58549.9573,70904.09293,112075.2225,84212.70252,103054.357,53489.21799,,69976.29049,,,91927.46891,,65059.07822,53600.66081,45486.92322,84634.51255,79904.95491,105232.7587,50174.65705,106203.8122,75275.22794,61722.82709,71728.35487,51005.06762,62855.60289,88545.12003,53797.87154,61721.79501,53211.76831,86052.74006,65447.31973,75662.32074,39776.69132,65128.7784,,65095.30261,88397.31001,75899.99188,,67751.58248,52442.50528,57118.57871,51198.93071,73140.09522,63104.64578,55700.39891,86469.95821,98709.5952,64923.1915,71551.48571,65993.55882,61002.35615,76090.5659,82834.77363,59560.35354,58116.30156,59019.58953,96048.70887,71051.55511,72940.98207,60602.4101,61688.3626,54219.33698,56084.70709,51059.9221,56746.45933,48261.9907,28186.0241,53816.47709,44086.27293,69271.97119
37,66168.68,,124559.2172,66350.22276,60629.21566,61457.98086,82753.1493,68059.38462,54569.17839,60340.28962,53167.74649,86803.01153,91057.94369,69362.6073,62172.33357,70519.53217,112672.3863,75972.10274,100313.178,53078.26028,,68421.17747,,,91315.06798,,61800.09547,60806.38544,46690.21004,80685.87414,77489.6602,102194.1914,49872.6546,92969.11858,73525.45117,61593.62112,66704.18204,50306.39974,64359.07144,79770.33395,52818.40546,61721.79205,52793.88665,82524.44082,65447.32408,78107.67354,39569.67461,63147.69764,,65621.86768,82720.97885,72849.57304,,67765.32323,52078.89052,56709.48133,50301.61222,70610.16059,55419.24171,53586.53355,84634.71073,94902.40442,66717.95722,73368.39894,61815.08867,54108.63588,76391.06249,79564.33107,58846.6599,60230.16587,57515.48545,99796.75408,69233.49954,77319.87665,63382.09071,60597.52895,54961.57527,53580.84107,51434.28904,57052.2237,47885.89926,28180.07688,54234.35634,45594.9529,72848.91215
38,65614.03333,,113815.7999,66153.005,64010.86348,59584.80944,76212.27806,57167.09838,51371.81129,55202.36605,52749.8616,88233.78682,84876.55534,66683.84212,66147.39624,70134.97303,107218.2234,75614.08765,100749.4615,54824.93754,,64430.09406,,,91083.10924,,60345.64967,66510.70447,46690.20674,77797.12868,74203.43229,101852.3341,49491.60909,104318.0423,74268.24525,61906.42547,61991.66601,49652.31446,74639.39585,74404.91294,52878.58806,57914.19705,53016.97635,81400.84167,64588.17216,74851.20547,39220.33449,63990.39567,,65120.4116,82027.67015,68045.25082,,66170.75854,49925.56642,55994.17416,51680.1099,68863.47257,,57129.95799,83129.18612,93790.51637,65236.60315,,62891.49859,53087.17231,76342.23049,76747.09815,54845.88423,58425.63835,58538.51338,98491.70779,70146.42343,75122.40979,62269.81014,57837.7641,56750.04195,52763.46946,49968.3927,58917.59977,47509.80434,27970.28845,53234.59152,48197.02252,69573.21791
39,65264.69667,,115270.2393,65049.80749,62112.05793,52380.39107,79073.83514,58913.78797,50188.42382,57298.39429,52205.19201,90508.68375,87972.03582,67053.52027,70510.72119,68316.91591,106649.4955,71593.42744,99796.75554,53371.40535,,61286.06091,,,89046.62704,,57814.10716,61817.20241,46553.32714,84357.68856,71259.60989,103606.1623,48831.49522,103731.3818,74268.24409,59842.06768,62513.11683,46439.73837,65566.75609,76221.82522,51774.22758,55348.38088,53459.37533,79599.95054,63168.15659,73028.00047,38671.91182,63275.00307,,65819.34722,80637.30062,64807.31704,,61447.40276,50701.14006,57380.0571,52418.32134,67444.68152,,64050.22748,80238.61435,94724.3192,62877.63243,,58877.84128,50505.53644,76358.24782,76700.31804,53099.20065,58554.84875,54246.17673,95341.32229,68402.18304,81704.67034,60523.12047,58068.41202,57538.75843,54267.57257,48179.91619,59505.9475,46846.1852,27970.2893,52870.22751,42754.30082,68525.20581
40,65264.69667,,113523.5513,61033.93632,62325.99062,49634.82983,81940.37095,58629.41724,50170.80183,65184.12196,51855.86056,97650.58588,75267.40656,66515.32273,76654.75565,67773.66797,107840.8026,77411.20665,99796.75621,55915.08149,,59205.06548,,,82505.14582,,65833.82504,59660.26875,,90053.00468,71586.22153,104856.2581,48509.57117,104809.4494,74359.9042,57050.94314,62163.23945,45278.28299,67981.47589,82835.55784,48906.62774,53530.33069,52344.71491,82015.24334,61705.07444,69827.14658,38227.95751,63625.33127,,60647.83364,80948.21659,69815.04587,,60706.90029,51150.29435,56408.94901,56432.91589,69611.23079,,69920.40319,78488.83913,98095.23451,61437.84142,,61774.8999,53621.77311,75944.11405,66889.01168,50831.28852,61806.40445,54257.6227,83179.71175,69835.68076,69785.14439,60666.87885,60120.87049,56796.52017,56771.436,45988.64321,60553.95947,46388.60275,27612.63027,54199.02944,42038.91631,67106.4189
41,64923.45667,,116530.4857,56215.16213,56875.25928,49135.34297,84420.87154,57677.37375,50518.45909,66369.00447,51855.85641,87533.17036,67989.01488,69892.75754,75898.95067,66700.58116,117036.2634,72337.59396,99604.60568,52797.81308,,54105.88263,,,74324.58585,,70197.15577,49145.49076,,85417.72399,71599.95208,104856.2608,47180.5567,93478.83872,77522.71225,56738.1353,62878.54884,45300.33876,78502.38151,80704.42412,50337.41113,53511.59278,50589.08063,81321.93704,66246.45762,74473.97808,37821.80661,63830.63441,,59718.51415,82419.82951,79613.75969,,60905.51221,55315.58097,57901.5999,55278.78512,69419.65353,,63425.64932,78176.3132,95056.41254,63276.89435,,58867.84807,57972.04694,73198.25683,65142.33036,48654.5664,61151.19828,53518.96168,71250.06456,69777.8418,62880.89412,61277.70759,65568.33702,53219.57891,57819.44963,47454.54108,59067.22379,45477.00047,27612.62992,52339.02263,39037.12293,60554.78788
42,64726.24,,112144.267,58054.21808,64407.748,49765.47139,82720.96153,54020.97976,51473.34766,64008.9034,51753.68354,93608.53786,75233.76437,69523.08277,65413.59819,66345.61223,116200.4903,73541.03533,100557.3101,51453.07673,,50281.57141,,,78303.70021,,75728.70439,50921.47155,,72316.28958,68342.10524,102276.7312,45069.51122,90259.58516,79538.52816,56084.69385,57815.72759,43204.31903,76362.78513,84891.09265,50327.11675,53200.45187,50589.08566,77308.71405,55980.28465,72184.05043,37614.7414,60999.08337,,57550.58238,85598.67163,79963.09445,,64198.08871,53884.80679,58875.8195,51642.6809,70480.75203,,59981.12122,77392.64234,92304.55523,63640.5035,,65743.06137,55721.33859,73909.00474,57228.16064,52497.2727,61021.9901,,77882.09854,72248.84149,58973.11649,59591.21139,67109.71158,50715.70796,62599.83505,48168.24453,56974.77549,44872.23383,27480.59167,65963.15794,39392.49094,61422.30024
