Year,All Majors,Advertising and Public Relations,Aerospace Engineering,Agricultural Economics,Animal Sciences,Anthropology and Archeology,Architecture,"Area, Ethnic, and Civilization Studies",Art and Music Education,Art History and Criticism,Associates Degree,Biochemistry and Molecular Biology,"Biological, Biomedical, and Environmental Engineering",Biology,"Botany, Ecology, and Zoology",Business Management and Administration,Chemical Engineering,Chemistry,Civil Engineering,Commercial Art and Graphic Design,Communication Technologies,Communications,Composition and Speech,Computer Engineering,Computer Science,Construction Services,Criminology and Criminal Justice,Drama and Theater Arts,Early Childhood Education,Earth and Other Physical Sciences,Economics,Electrical Engineering,Elementary Education,Energy and Extraction Engineering,Engineering Technologies,English Language and Literature,Environment and Natural Resources,Family and Consumer Sciences,"Film, Video and Photographic Arts",Finance,Fine and Studio Arts,General Agriculture,General Education,General Engineering,Geography,Health and Medical Administration,High School Degree or GED,History,Hospitality Management,Human Resources and Personnel Management,Industrial and Manufacturing Engineering,International Business and Business Economics,International Relations,Journalism,Language and Drama Education,Liberal Arts,Linguistics and Foreign Languages,Marketing and Marketing Research,Mass Media,Math and Science Teacher Education,Mathematics and Statistics,Mechanical Engineering,Medical Technologies and Assistance,"Microbiology, Physiology, Genetics, and Neuroscience",Multidisciplinary Science,Music,Nursing,Operations and Logistics,Philosophy and Religious Studies,Physical and Health Education Teaching,"Physical Fitness, Nutrition, and Sports Studies",Physics,Political Science and Government,Production and Transportation Technologies,Psychology,Public Administration and Policy,Secondary Teacher Education,Social Science or History Teacher Education,Social Work,Sociology,"Some College, No Degree",Some High School,Special Needs Education,Theology and Religious Vocations,Treatment Therapy Professions
11,59904.01667,56622.60899,82331.85082,61774.90371,46754.78752,50338.29752,63925.32879,58518.12168,45407.29231,49884.0022,42482.21643,68315.89887,77595.40034,55957.22415,49605.82702,60334.65587,98273.32116,61601.00211,77138.57454,52624.57948,57828.94048,58356.86917,50146.68685,92642.86071,76029.8615,75235.59554,54665.37017,42651.55683,39533.41058,63038.38199,79185.82195,87799.28821,41797.60607,88684.61474,65306.51973,53816.46306,53940.21404,45382.60996,47746.15877,75146.99941,45068.95918,51461.96527,44093.71064,79137.66879,53395.7566,54956.20919,31385.62868,55198.79051,57442.15503,57481.96211,80290.95224,65687.04494,70061.27137,57852.31696,44105.08424,48893.17564,55410.33578,64278.29417,54507.26901,49169.29319,67126.17986,82044.83685,58354.27199,58339.24817,61727.42893,46771.24518,63382.0808,77664.3047,52469.06398,44468.46694,53078.93033,80670.50137,64318.58038,69816.07578,49455.79209,53762.88753,45054.17409,48711.63906,40889.15291,52805.26217,36680.37072,23131.31345,41920.41589,40116.12334,58271.895
12,62407.87667,61713.1576,85338.59318,63279.00509,47746.44887,52120.0944,67418.69844,56977.67789,45661.69672,52427.67238,43053.17417,77012.54276,88874.37073,58517.51595,51716.86766,62537.08597,98843.51678,67016.99738,80772.39286,55604.30976,57421.19787,61286.06237,53780.50661,95661.43636,79834.14508,78835.9593,56692.84364,45261.87758,40577.75441,64593.48874,81400.84444,88999.81422,42172.17235,95952.24936,69742.61965,54882.09178,56778.47746,47152.6791,50623.2161,76679.43319,45187.7843,52174.16555,44230.58449,82454.21085,56706.46685,53976.74616,32112.39076,57717.94943,59271.65411,59312.60307,82385.33069,66397.3511,67266.57516,57125.09304,44241.9581,49549.48153,57125.09304,67616.23346,55901.03946,49532.67813,73689.77771,84306.61055,60100.95785,59846.92437,56625.43385,46407.85986,64238.5123,79180.99823,55644.76012,46614.63091,54259.3201,91374.47064,68315.78118,69819.27204,50898.78625,56306.55726,45542.07156,47189.39731,41780.88336,53452.85509,37700.86398,23674.77676,41755.45222,42406.99508,65556.13933
13,64080.76,63563.50863,94786.52015,64182.98995,50609.68916,52837.01033,68663.92464,54925.22495,47736.304,50138.42812,44341.73774,74323.12571,94325.09784,63968.24631,57014.76205,64353.99518,96543.9692,68964.26528,84265.75817,57819.01883,60345.87287,63534.20305,61751.55008,99068.97737,81686.10725,81000.68788,58510.89584,48179.91925,41625.76096,66340.17212,87834.71443,91974.0552,42535.55577,94498.72408,74037.67247,54893.53941,59255.95649,46435.76013,55337.56293,78600.78721,48119.35357,53435.75632,43600.09532,84651.90703,60340.28452,55723.43599,32540.60502,61365.50142,60373.93103,60698.49035,84547.3074,71637.40582,68314.58494,59254.8068,43302.72935,51367.53431,58412.10777,68672.86144,56639.70493,49441.21779,80676.51558,86729.43394,59387.26257,60354.01884,56596.14051,50254.14061,65094.94587,81354.40404,57758.62771,47341.39393,54355.27562,94120.41791,67603.43749,74166.57298,52284.61496,55972.24173,46946.08924,44968.66736,42635.81866,54155.10699,39066.46226,24043.19507,42454.12428,44233.06332,65913.8318
14,64937.19333,65104.88064,102152.6316,65987.9169,52416.29445,52019.64429,68321.26046,57302.03658,48093.99721,55784.16114,45078.12031,72505.0739,90336.58268,67238.6812,55268.07962,64726.23852,97298.2401,72399.66413,84964.42997,59326.70113,61423.42737,63649.1391,58844.49692,101452.4605,84576.67364,84181.49127,60260.16628,50234.62789,42052.4849,65242.81475,92122.05905,95321.61393,43026.12615,92680.67304,77671.49022,56711.59558,59531.49124,48797.74402,59332.38903,79299.45901,49210.18607,54511.56507,43609.25505,85048.7388,62436.30737,55365.74419,32953.61745,61788.64175,59880.82648,62191.22362,88579.23815,76000.73609,76315.2777,61072.86322,45770.82387,53467.12871,57371.32514,69763.00643,55937.45622,50156.99244,80696.80224,88943.1725,59503.19364,66528.44725,62185.52466,51044.83336,65449.92448,82859.72364,57059.95822,49158.30468,53628.05369,97613.78261,73780.92659,76687.51561,53750.50877,56699.00747,46115.82768,48377.12481,42953.40147,56946.2263,40258.80872,24173.3526,43502.13627,45914.08829,70625.20509
15,65483.74667,68013.76792,109400.8029,69370.95415,55676.43128,54779.22768,69718.60289,65638.67919,48178.89309,56101.83241,45904.50869,74957.14764,90511.3517,66511.4631,57073.54234,65081.21481,100705.7795,69904.91456,86286.18988,60314.95601,66262.67128,64894.36374,61779.37665,103354.6622,83589.61396,82434.80709,61657.51414,51700.52001,41718.18121,67749.40063,93126.28706,98413.4195,43387.48,90863.76518,79102.26324,57074.97758,62426.63864,48349.23876,61828.04675,82792.82657,51282.63833,54230.7734,44307.92995,85048.73946,64566.02074,58441.23049,33316.99897,63112.186,59871.87202,58543.67472,88966.99466,78509.68384,77207.86018,67254.25,49264.19666,56335.62383,58432.86393,71551.48174,53646.10374,51257.66936,82508.84616,91852.05951,58165.60106,69562.14524,67287.51765,50776.19444,66883.42177,83131.50454,57059.95645,50146.68799,53628.05056,87985.07731,74886.63409,80670.74894,55254.61084,55256.92376,48182.36561,47734.8028,44001.41208,58802.49255,41334.33656,24361.91756,45064.44605,46885.41238,69064.6848
16,66531.75667,69799.52112,113862.5433,67624.27568,58895.67829,59888.71327,70994.91112,68533.83039,49367.74945,66658.4656,46362.63002,74053.16252,88239.45968,64708.28458,55971.26352,65081.21382,105066.3629,68814.08008,87670.18805,58464.6042,69861.75799,66139.58943,55625.23974,103376.639,84599.20363,84615.09477,63120.5896,55686.73339,40471.08677,69040.81588,92642.86433,99867.863,43396.63979,95802.63255,79817.65142,58893.03203,63168.4099,48339.39239,63658.68857,85208.12238,53801.79338,55263.7638,45295.9839,86059.93815,64940.16936,60637.90941,33854.90415,63098.45069,62403.41177,58556.26678,88120.18738,77762.17306,87932.0934,67995.20958,49485.81984,56335.62303,57734.1934,75912.06194,55698.5616,52779.90509,84359.20631,94862.79247,61658.97206,72199.08168,70589.30928,51564.90702,67596.44907,87846.78689,57059.95873,51757.62096,55278.7826,86193.2349,78869.41376,82418.80287,55738.4522,55256.92295,49555.19932,51762.59449,43652.0783,58620.80176,41913.8384,24725.52631,45635.40687,49724.93657,69780.07366
17,67422.00667,71616.43095,115059.389,62912.29148,57089.07096,59946.5555,73483.74211,62816.72838,49367.74925,62103.56452,47443.15807,81305.91744,77703.00524,66177.15017,59616.75122,66326.4412,102325.1811,67610.64361,91163.55636,59052.94245,68784.20531,69048.4793,57157.78107,103376.6412,84253.91327,83217.75263,66021.34824,55177.67364,41235.12058,74871.12866,90139.00498,99867.86284,43633.28948,101598.4233,77273.98183,59607.20829,62469.74006,46277.9228,64013.66263,84803.65101,53893.24986,55994.09734,47103.73478,86331.715,63892.1631,61583.9414,34346.59903,64915.35698,61427.51916,58198.57192,92585.97853,77040.9628,86727.59312,66090.76787,47971.98301,57425.76797,58762.38553,76240.71518,58977.99639,49991.67485,83197.55985,95106.13087,60568.82705,72312.71911,66890.63181,52858.5012,69414.50209,91117.22649,57426.91361,53179.48263,58058.45632,85640.37572,77816.04391,80601.89533,56034.26691,55983.6864,52228.72631,54251.90668,43879.5689,57659.18263,42476.41681,25120.20928,44741.22958,48280.56538,68159.39565
18,68663.92333,66746.00505,113584.671,59768.26294,58179.21737,59333.14175,73833.08264,67438.30798,50415.75497,65247.59277,48424.51878,80590.52819,74671.66562,67640.22947,58889.98928,68129.61928,103209.9805,66883.4238,90459.89641,58428.07179,68671.89876,69591.72906,55616.67232,107655.8246,86799.18866,85663.11103,66528.44722,55462.04033,39780.95559,75001.48025,91927.47297,100146.9726,43761.00777,103438.2244,75485.51179,61787.49995,62106.3567,46268.3055,63631.87148,87064.94294,53906.77588,61359.51669,46750.04029,85208.12103,63528.77974,62282.61133,35073.35972,66312.70514,59618.42141,61846.1242,96132.85926,78829.43044,82690.97856,65706.20845,46885.40979,57425.77,59920.73218,76638.82788,60570.67639,49361.82929,83924.77872,95812.74694,61906.42239,76075.21894,65422.45533,54255.84623,70487.59248,93408.57992,53802.71448,53906.24549,59081.49328,93634.77678,79290.78051,83053.96731,54530.16153,55983.6919,50401.05151,54627.9981,43393.35652,56881.84121,42824.97294,25490.58272,45005.66935,46460.79148,70304.94903
19,69591.72667,66391.02854,109171.9576,58794.04981,58035.45544,54888.4586,77120.688,67452.04575,49497.20531,62718.34295,49066.84488,87876.48255,69327.19444,67285.25295,66900.86956,70673.29747,105026.8895,71246.75034,90822.5833,58791.68044,65436.18986,70519.53603,65809.22058,107655.8253,88357.40765,88226.70253,66528.44729,52191.60063,39931.58094,74274.26096,94227.80933,101307.6744,43888.71998,107606.7929,76200.90224,63591.81383,62464.04952,46739.13999,63631.87409,85703.01927,52435.62885,60315.07709,46392.4739,84509.44949,66788.44696,65176.84899,35853.92551,67053.66157,59474.40139,63664.17656,96470.47046,80266.9298,81237.45102,66054.78979,48437.22867,58203.03833,58974.69354,78109.75772,59871.99757,46748.76066,81381.10756,96196.96318,63303.76577,79238.65935,63867.34801,57100.94724,72062.16405,89741.31139,55607.02835,54917.99865,59139.3354,96316.77941,80034.94223,82696.27639,56335.62491,58414.02762,51127.81445,54652.51489,44695.95958,58209.9391,43188.35285,25854.1912,44996.50843,43050.31303,72581.47164
20,70850.36333,67452.12995,107975.1124,61359.86707,58842.30857,59940.31357,78978.01969,76662.51664,50518.46278,60245.78754,49720.9305,86682.65464,85802.37239,65489.33936,65112.40191,71949.60085,110750.0034,72450.18902,90652.79323,58528.7333,70118.51961,72386.42713,64759.67332,107655.8209,90393.87756,98706.80514,65081.21424,58141.08172,36297.76602,73177.41291,93754.12963,101053.6364,44242.94231,105426.5036,80579.11351,62552.24648,64717.82871,47078.44034,60415.346,87957.85198,54889.44207,62379.43954,45564.2334,85587.51851,67836.45688,67807.75748,36581.15312,69233.95123,59512.62171,65094.95333,94053.5563,78755.94297,83916.08182,67604.25451,49629.14017,59205.33942,60805.33867,78887.50597,64214.86447,49533.41823,83527.26989,100489.299,64779.43569,80636.0053,62095.33024,56726.11949,71677.60883,88547.48349,61784.51563,54219.32496,58528.50496,100313.9795,79588.67768,82690.91194,57368.61228,58050.64246,51561.69897,57197.79339,44468.46804,56380.43793,43529.443,26402.4342,48339.61744,43767.9191,73854.11083
