year,Accounting and Actuarial Science,advertising and public relations,aerospace engineering,agriculture production and management,animal sciences,anthropology and archeology,architecture,"area, ethnic, and civilization studies",art and music education,art history and criticism,Associate Degree,Average of all Majors,Biochemistry and Molecular Biology,biology,"Botany, Ecology, and Zoology",business economics,business management and administration,Chemical and Biological Engineering,chemistry,Civil and Architectural Egineering,commercial art and graphic design,communication disorders sciences and services,communication technologies,communications,community and public health,composition and speech,computer engineering,computer science,construction services,criminal justice and fire protection,criminology,drama and theater arts,early childhood education,economics,electrical engineering,elementary education,Energy and Extraction Engineering,engineering technologies,english language and literature,environmental science,family and consumer sciences,"film, video and photographic arts",finance,fine arts,forestry,general agriculture,general education,general engineering,general medical and health services,General Physical Science,general social sciences,geography,Geology and Earth Science,health and medical administrative services,High School Degree or GED,history,hospitality management,human resources and personnel management,human services and community organization,Industrial and Environmental Engineering,intercultural and international studies,interdisciplinary and multi-disciplinary studies (general),interdisciplinary social sciences,international business,international relations,journalism,language and drama education,liberal arts,Linguistics and Foreign Languages,management information systems and statistics,marketing and marketing research,mass media,Math and Science Teacher Education,Mathematics and Statistics,"Mechanical, Biomedical, and Marine Engineering",medical assisting services,medical technologies technicians,"Microbiology, Physiology, Pharmacology, Genetics, and Neuroscience",music,natural resources management,nursing,nutrition sciences,"operations, logistics and e-commerce",philosophy and religious studies,physical and health education teaching,"physical fitness, parks, recreation, and leisure","Physics, Astronomy, and Astrophysics",plant science and agronomy,political science and government,psychology,Public Administration and Public Policy,secondary teacher education,social science or history teacher education,social work,sociology,"Some College, No Degree",Some High School,special needs education,studio arts,theology and religious vocations,transportation sciences and technologies,treatment therapy professions,visual and performing arts
33,96313.203,72006.414,133199.11,81643.664,82993.289,64455.523,94749.617,77301,60727.719,78328.258,54307.59,85231.891,132109.42,113837.06,105891.78,100597.2,83550.141,134282.34,121928.41,117829.98,64455.523,74124.25,67770.742,66604.039,63535.07,48710.219,134482.56,105891.78,97420.438,65529.781,65652.906,60358.316,50490.16,106539.86,132635.84,56396.344,117094.2,92655.305,78359.922,72747.203,61618.227,64751.355,107425.88,63923.914,95302.602,71722.602,61417.234,106539.86,65795.734,87091.727,76708.695,77346.633,101304.54,81968.68,41775.07,83792.18,58485.098,79418.836,54304.254,116480.96,69826.82,54004.809,58485.098,61618.227,104437.67,78328.258,64989.313,76239.5,72006.414,100597.2,85231.891,67678.297,60158.488,104437.67,125325.21,73106.367,76708.695,105534.68,64455.523,91624.281,86831.258,63535.07,91311.992,76242.086,68829.656,61476.512,128076.07,72447.102,102278.27,74577.898,81643.664,63706.98,79418.836,59427.297,74124.25,51230.426,30938.652,65529.781,46996.953,59084.23,105891.78,83550.141,53263.215
34,91311.992,66054.711,137857.73,79904.891,67884.484,83550.141,86831.258,85042.508,64989.313,68648.773,55063.727,85042.508,122953.02,116480.96,111866.85,93184.766,84594.516,127847.83,118168.46,109574.39,63381.266,75195.125,57440.719,75195.125,78328.258,85042.508,127847.83,105891.78,105891.78,69250.906,66840.109,56396.344,52218.836,112797.16,130547.09,61476.512,118259.24,95302.602,79904.891,90008.016,61476.512,43614.906,102460.85,57378.078,72061.992,76708.695,63535.07,106539.86,75508.438,88772.023,69973.242,84594.516,96951.273,81536.672,42356.711,88928.68,65652.906,83550.141,54335.328,114881.44,96683.289,60727.719,62858.516,74124.25,104437.67,76845.641,65795.734,73049.594,73065.328,105891.78,82505.758,69673.383,67884.484,107425.88,127070.14,64593.988,79904.891,116970.2,63923.914,85042.508,84713.422,64455.523,99538.273,80417.008,66054.711,66599.555,127847.83,85231.891,106539.86,76845.641,90165.555,67678.297,68829.656,58596.922,73106.367,51139.133,31331.303,64455.523,46193.125,48341.645,105474.46,84166.492,51564.418
35,95302.602,64455.523,127070.14,75198.109,84594.516,85772.344,100411.64,93755.078,63535.07,69890.148,54004.809,83550.141,148247.7,119058.95,102054.58,94243.688,81968.68,130547.09,107425.88,119058.95,64751.355,73106.367,60358.316,67770.742,76845.641,105891.78,112245.29,102348.92,97337.813,74123.852,64455.523,71722.602,51139.133,102460.85,126011.22,59662.32,135248.33,95885.875,75821.031,82993.289,63535.07,51230.426,107425.88,53712.938,83550.141,71722.602,59427.297,104437.67,74124.25,89163.477,78328.258,79904.891,102054.58,86831.258,42356.711,88772.023,63535.07,69826.82,48710.219,102054.58,63535.07,61476.512,58485.098,83550.141,88772.023,79919.469,68829.656,66604.039,73615.313,104437.67,85042.508,71975.336,66599.555,104832.87,117829.98,91311.992,81968.68,110801.45,68752.563,74577.898,84713.422,75198.109,77346.633,69250.906,69826.82,54852.492,127847.83,68185.508,95609.031,75198.109,81968.68,65574.945,64885.227,59299.398,65574.945,51230.426,30738.256,62858.516,61476.512,48901.797,99215.789,84713.422,54304.254
36,93993.906,61476.512,156656.52,69826.82,73049.594,88089.219,96683.289,100597.2,64455.523,85940.695,54335.328,83550.141,117193.84,111186.37,110648.65,98362.422,81968.68,130246.89,123893.38,112797.16,63525.73,76845.641,68648.773,76845.641,98171.414,47942.938,105891.78,106539.86,95302.602,73106.367,86297.289,58240.48,42356.711,104832.87,122520.84,61476.512,128911.05,94534.766,76242.086,78839.492,52945.891,79418.836,100411.64,63535.07,80569.406,76845.641,63535.07,102460.85,72006.414,85231.891,79418.836,88772.023,93993.906,79418.836,42356.711,88949.094,57531.523,69826.82,52524.152,106950.7,69826.82,49085.707,69973.242,113871.43,94534.766,71722.602,63535.07,69250.906,71722.602,95885.875,84594.516,66599.555,72061.992,106539.86,118854.59,67884.484,75198.109,122953.02,67678.297,77346.633,87091.727,71914.406,106539.86,81968.68,65795.734,69250.906,120103.32,74123.852,100980.32,74577.898,79418.836,66054.711,50652.27,61476.512,67884.484,51230.426,30738.256,63525.73,53279.645,52218.836,92214.766,85231.891,73065.328
37,93993.906,69250.906,148248.5,75198.109,70901.078,82595.586,99215.789,84166.492,65652.906,70901.078,54307.59,82595.586,131517.59,108608.51,106539.86,77870.25,83550.141,124651.63,112245.29,114881.44,53712.938,77301,73106.367,71017.617,80569.406,82610.195,121775.55,102460.85,95885.875,74577.898,79904.891,58485.098,51886.973,97420.438,121147.7,59084.23,131149.89,94263.984,76845.641,91905.148,58485.098,62325.816,105482.05,53712.938,85940.695,74577.898,62488.637,99215.789,60573.852,88772.023,76708.695,80417.008,91066.93,102460.85,42356.711,85231.891,79418.836,85231.891,53712.938,95885.875,69888.578,90560.008,52218.836,80569.406,90008.016,74796.422,68185.508,73106.367,75195.125,100147.47,79685.945,71017.617,67884.484,104409.06,116970.2,63535.07,75643.297,104437.67,66599.555,73106.367,85231.891,73771.813,89218.047,79418.836,64751.355,68829.656,122953.02,71017.617,102460.85,76242.086,93993.906,63166.414,64989.313,61618.227,64550.34,51139.133,31153.504,64550.34,52638.68,48156.016,105891.78,85940.695,78328.258
38,88772.023,72006.414,137659.31,63535.07,98479.359,78839.492,102278.27,78328.258,58240.48,68829.656,54304.254,80569.406,182765.92,103773.95,92214.766,117829.98,80944.078,111866.85,112706.94,110657.72,62501.121,75198.109,61245.875,71722.602,66840.109,63535.07,104437.67,101304.54,128911.05,67884.484,87362.688,62581.863,51230.426,102460.85,122834.47,57583,125325.21,81968.68,77346.633,90008.016,58240.48,65529.781,99215.789,55400.727,84713.422,76809.5,62307.008,100980.32,68829.656,90008.016,80944.078,83550.141,93993.906,84017.898,42615.945,84166.492,58402.688,68829.656,46945.105,104437.67,66840.109,64550.34,59529.473,50073.734,82595.586,79904.891,64751.355,70901.078,76845.641,99082.07,78328.258,64455.523,74123.852,104437.67,120716.63,76845.641,76708.695,119366.9,62662.605,75198.109,85231.891,64455.523,96683.289,71381.703,63923.914,59427.297,117193.84,69250.906,104437.67,76272.367,98016.672,69826.82,66599.555,56353.469,65574.945,51230.426,31767.535,64550.34,53269.93,53163.391,96683.289,78328.258,87890.18
39,88772.023,66599.555,125002.24,84713.422,73106.367,78359.922,95885.875,75198.109,58240.48,80569.406,55063.727,79418.836,114945.69,100260.16,100411.64,102460.85,78328.258,130547.09,122520.84,112792.69,54787.195,64455.523,62662.605,63525.73,88772.023,70901.078,95302.602,103128.84,107425.88,65795.734,104437.67,54304.254,53269.93,92214.766,117829.98,57378.078,126762.53,80569.406,75198.109,76845.641,55861.453,62858.516,93993.906,54335.328,86067.117,71017.617,61793.117,104437.67,63923.914,93993.906,84713.422,74124.25,102460.85,100597.2,42356.711,89140.945,66599.555,69888.578,52218.836,99387.031,76242.086,59324.836,71381.703,107425.88,88949.094,70947.492,63535.07,64455.523,75198.109,101304.54,77283.875,73171.219,67884.484,101212.87,114945.69,84713.422,73106.367,104437.67,65294.434,66599.555,85231.891,57181.563,85403.57,71381.703,62662.605,66711.82,122953.02,57440.719,92214.766,77870.25,73106.367,65652.906,69826.82,58596.922,74123.852,51230.426,31540.178,65529.781,57531.523,52945.891,92214.766,77301,69826.82
40,92214.766,74123.852,138501.81,68648.773,64455.523,74124.25,90558.883,76845.641,60727.719,65529.781,54307.59,79418.836,133680.22,102460.85,97420.438,79919.469,76845.641,114881.44,107425.88,109574.39,53279.645,68829.656,50073.734,73106.367,90860.773,44474.547,105891.78,96361.523,102460.85,64989.313,61793.117,62662.605,54304.254,99215.789,112932.25,55400.727,125325.21,85940.695,77346.633,89493.484,54304.254,67884.484,100147.47,58485.098,64455.523,67770.742,60358.316,97420.438,76708.695,86297.289,80970.289,63535.07,102278.27,85231.891,42356.711,86683.266,69250.906,79372.633,47942.938,105891.78,88772.023,61476.512,68928.867,47942.938,100597.2,72447.102,67678.297,61476.512,74124.25,90165.555,76845.641,63923.914,67884.484,103393.3,112932.25,73049.594,73106.367,92214.766,69250.906,74577.898,86831.258,73106.367,91624.281,77301,65652.906,64455.523,120103.32,73106.367,100597.2,75198.109,80970.289,60358.316,73049.594,62501.121,74577.898,51230.426,31331.303,65574.945,42970.348,52945.891,90558.883,81968.68,74577.898
41,88116.336,60727.719,143950.67,58240.48,71381.703,81461.383,88949.094,87931.875,63381.266,93993.906,53712.938,77346.633,137659.31,97483.969,106539.86,84713.422,76708.695,107583.9,114881.44,108615.18,54335.328,62662.605,71722.602,76845.641,82595.586,74577.898,102460.85,90008.016,105891.78,66604.039,55400.727,72447.102,44474.547,95302.602,114881.44,55351.965,134482.56,82595.586,69673.383,67770.742,52218.836,56353.469,95302.602,55328.859,71722.602,67884.484,60158.488,90008.016,65841.633,84713.422,74577.898,76708.695,94820.477,78328.258,42356.711,85638.891,58596.922,70901.078,62662.605,90237.734,102348.92,36553.184,69250.906,78420.891,146099.19,74577.898,63923.914,61476.512,73106.367,93184.766,78328.258,61476.512,69826.82,94820.477,105891.78,63535.07,69826.82,106539.86,57378.078,74577.898,83792.18,64751.355,76916.922,68928.867,59084.23,58981.723,123586.23,56146.504,98362.422,76845.641,95302.602,63535.07,63923.914,62476.152,68752.563,50718.121,31762.865,65652.906,53498.086,52255.035,76845.641,81643.664,43033.559
42,84017.898,64455.523,109633.12,90558.883,64751.355,71017.617,95302.602,77346.633,58009.973,64455.523,53712.938,76242.086,91311.992,100980.32,92214.766,81968.68,73771.813,103393.3,106539.86,115063.05,61476.512,79418.836,38121.043,64455.523,86831.258,52218.836,141894.98,96683.289,88772.023,61476.512,71975.336,67678.297,52945.891,87727.648,111186.37,54307.59,122953.02,88116.336,74577.898,53279.645,59529.473,68829.656,106950.7,56353.469,66054.711,62662.605,60358.316,91311.992,71722.602,93993.906,65652.906,79418.836,85042.508,95302.602,40984.34,78839.492,51230.426,73771.813,51230.426,106539.86,56396.344,62662.605,40730.691,55861.453,93460.508,64455.523,55861.453,65652.906,64455.523,83101.094,71722.602,59427.297,59662.32,103485.46,111682.33,66840.109,73106.367,93993.906,63923.914,62662.605,83550.141,57440.719,99934.391,65795.734,60573.852,51230.426,126762.53,73771.813,98016.672,73106.367,73771.813,61476.512,55861.453,50205.82,65652.906,49769.137,31331.303,62858.516,76242.086,47651.301,91311.992,86067.117,111722.91
