Percentile,Accounting and Actuarial Science,advertising and public relations,aerospace engineering,agriculture production and management,animal sciences,anthropology and archeology,architecture,"area, ethnic, and civilization studies",art and music education,art history and criticism,Associate Degree,Average of all Majors,Biochemistry and Molecular Biology,biology,"Botany, Ecology, and Zoology",business economics,business management and administration,Chemical and Biological Engineering,chemistry,Civil and Architectural Egineering,commercial art and graphic design,communication disorders sciences and services,communication technologies,communications,community and public health,composition and speech,computer engineering,computer science,construction services,criminal justice and fire protection,criminology,drama and theater arts,early childhood education,economics,electrical engineering,elementary education,Energy and Extraction Engineering,engineering technologies,english language and literature,environmental science,family and consumer sciences,"film, video and photographic arts",finance,fine arts,forestry,general agriculture,general education,general engineering,general medical and health services,General Physical Science,general social sciences,geography,Geology and Earth Science,health and medical administrative services,High School Degree or GED,history,hospitality management,human resources and personnel management,human services and community organization,Industrial and Environmental Engineering,intercultural and international studies,interdisciplinary and multi-disciplinary studies (general),interdisciplinary social sciences,international business,international relations,journalism,language and drama education,liberal arts,Linguistics and Foreign Languages,management information systems and statistics,marketing and marketing research,mass media,Math and Science Teacher Education,Mathematics and Statistics,"Mechanical, Biomedical, and Marine Engineering",medical assisting services,medical technologies technicians,"Microbiology, Physiology, Pharmacology, Genetics, and Neuroscience",music,natural resources management,nursing,nutrition sciences,"operations, logistics and e-commerce",philosophy and religious studies,physical and health education teaching,"physical fitness, parks, recreation, and leisure","Physics, Astronomy, and Astrophysics",plant science and agronomy,political science and government,psychology,Public Administration and Public Policy,secondary teacher education,social science or history teacher education,social work,sociology,"Some College, No Degree",Some High School,special needs education,studio arts,theology and religious vocations,transportation sciences and technologies,treatment therapy professions,visual and performing arts
23,1172041.671,1006083.52,1923871.938,977860.1709,950790.4365,940307.0811,1178135.646,1035240.921,916293.1318,951065.4443,683994.6045,1057939.975,1484104.375,1227903.15,1030440.027,1342858.894,1034241.212,1714176.563,1370952.207,1589988.277,849891.8594,1143614.644,869624.7021,995101.5098,1018666.837,845698.0098,1754049.445,1431094.926,1317552.863,931821.5186,954680.5273,819634.1738,743984.5908,1348052.02,1837880.721,900545.5068,1791667.074,1258226.353,968019.9766,1062679.742,814979.0498,842108.5554,1328563.387,774406.0674,1013685.245,956711.2285,909290.3076,1439020.936,955480.4688,1087055.696,925724.3262,1030073.271,1174638.653,941062.2832,518352.3516,1031484.443,861211.6484,1012849.468,757669.4785,1542115.854,1023101.685,898011.1543,890992.4063,1053113.679,1251862.269,1002802.176,966915.8906,882724.4932,973105.3936,1388458.795,1074355.429,889683.168,1031100.617,1309067.342,1773393.676,1044505.455,1143578.098,1295685.287,851401.9434,970430.5469,1283175.469,988272.9502,1300855.126,959426.3447,926008.374,913696.3057,1566551.068,909949.3818,1224748.506,949006.7471,1110958.76,988527.5088,952445.6338,860623.9404,917572.8574,606353.2197,411402.6484,974798.8877,732960.6035,730967.7715,1234579.055,1139467.428,801866.9717
24,1197751.267,1023634.854,1952677.414,995002.124,967773.4102,960578.8926,1202220.924,1056669.707,932829.2803,963616.5146,698329.418,1074895.926,1519596.025,1255348.41,1051947.939,1382436.921,1055850.821,1754989.311,1398461.367,1619115.533,867447.8799,1158509.119,895192.6641,1013378.885,1035810.965,861569.5791,1796042.244,1463113.727,1346492.236,949761.5098,975024.4014,832492.6602,757461.0566,1385595.724,1870576.615,911580.5166,1820552.834,1286292.332,986055.5986,1082327.438,828959.6904,858922.6111,1364534.414,790327.5352,1031562.47,983889.6641,920352.8857,1475912.482,971390.4111,1109330.9,949507.5605,1048730.354,1197159.92,960333.2441,526908.7373,1048051.824,880181.4277,1033356.572,772582.3867,1568920.154,1039208.647,911274.8975,905923.0293,1074558.863,1289157.326,1018405.477,981696.5176,899028.668,993676.6514,1415467.619,1091628.714,905558.6113,1042055.62,1337419.326,1799717.463,1059280.709,1170794.166,1325152.322,866982.8232,989271.5195,1299748.277,1005661.247,1321283.596,977026.377,947811.0352,927908.3633,1601036.143,928111.2891,1256514.408,966444.6582,1128677.317,1003835.931,968585.3164,875098.4082,934625.0645,616810.7949,418349.3979,987750.2598,749017.543,745241.6172,1266148.153,1157859.678,812681.0029
25,1221419.867,1044308.206,1989884.152,1012516.864,988963.1982,981175.2803,1222525.666,1075975.529,948716.8721,973808.5264,710274.3955,1091631.21,1551061.645,1280435.508,1073901.646,1407569.32,1076258.411,1793027.594,1423923.545,1643832.672,882579.3184,1178088.425,909850.3916,1031575.221,1050641.95,879694.3848,1830382.963,1487384.377,1378400.869,968024.2412,989886.0869,846972.373,771553.6211,1417328.787,1899893.188,924474.2686,1845594.178,1310314.279,1005893.452,1101658.52,844051.1387,878814.48,1392354.609,806588.6777,1054013.646,1002642.26,933400.3633,1499307.317,989698.792,1133743.242,966990.5674,1065792.196,1217388.115,972456.7617,536944.9258,1067230.925,900592.0918,1053510.967,782048.6045,1602989.236,1055790.841,921376.46,915805.0811,1099347.854,1319462.012,1039362,994299.5713,915767.6826,1015474.48,1444926.822,1109484.497,922108.5391,1052100.25,1361740.977,1829379.922,1079841.957,1185384.639,1348299.238,886596.2607,1003343.763,1315164.021,1021293.344,1339897.52,998832.0898,963169.877,945798.9854,1635154.732,945227.4473,1281739.137,983429.1953,1148628.068,1013958.35,985003.1133,885040.6943,950869.8682,627037.4053,425011.0454,999896.999,766421.5127,760415.9072,1296427.367,1175410.602,824887.9004
26,1249813.303,1060662.792,2009127.277,1026812.643,1006216.296,1001408.823,1243800.206,1098402.588,964143.9209,990754.7061,723245.1621,1112120.758,1582636.287,1306427.6,1092834.137,1435046.836,1093604.884,1827927.398,1448080.33,1662426.021,898114.7666,1189255.982,927458.3145,1049744.901,1070507.096,890478.1123,1858536.063,1519958.506,1409878.533,981794.5537,1010526.018,865215.4473,785228.0684,1447851.682,1928963.424,934490.9229,1881912.223,1333192.036,1021412.853,1118992.053,857915.4902,896265.9077,1424456.867,822796.7236,1080170.049,1023184.708,948284.1533,1536011.558,1005801.004,1155837.629,986810.1523,1088116.927,1234702.471,994894.2285,546078.3438,1085916.041,919447.5303,1071335.023,792131.8252,1626475.787,1090143.614,937003.9629,931975.1055,1115802.845,1343341.201,1057516.406,1008814.294,930104.6982,1030180.109,1471013.898,1133235.058,938718.251,1067394.637,1386494.125,1857285.959,1124207.692,1207258.633,1376709.369,906422.3906,1020455.536,1332304.881,1038196.482,1362725.604,1022026.816,977585.9375,960775.2803,1666643.338,957587.585,1308904.258,1001686.328,1164783.826,1027589.483,1001622.174,895606.3545,971262.458,638506.5967,430866.3784,1014027.229,778649.0015,773901.2344,1326639.941,1195668.699,847575.8975
27,1273878.74,1072888.542,2035806.91,1048053.16,1027698.072,1017813.184,1264018.27,1126135.777,976229.2715,1002164.717,734776.4639,1132476.929,1610760.1,1331601.727,1118058.539,1462482.713,1110773.506,1864336.221,1478630.346,1687464.658,911029.2852,1201845.192,954476.9316,1063113.512,1086125.777,904189.8857,1891034.82,1548343.357,1437055.42,997425.8584,1027050.4,875497.8369,795973.8584,1484277.986,1961469.621,946550.9736,1912648.094,1356582.441,1038141.825,1134348.975,870482.9092,913537.3438,1445609.217,838461.1865,1103473.352,1045761.381,962543.4063,1573744.762,1021548.538,1173616.936,1002861.028,1106853.615,1258967.643,1011815.613,556152.5107,1106805.526,933215.0605,1088371.554,798178.2061,1663019.465,1109751.515,956329.9922,951021.7578,1135224.19,1364258.129,1075934.155,1022575.184,949811.3164,1044225.397,1495658.215,1150907.408,953394.457,1077427.621,1413082.434,1882119.258,1139747.742,1223040.354,1402310.326,925831.5576,1035487.65,1350839.279,1058373.416,1385065.646,1043953.569,991642.1309,976259.7715,1690426.447,971887.1172,1330796.846,1020280.993,1185807.217,1040800.065,1016282.881,907249.623,987739.127,651093.4639,437886.1855,1027407.063,792614.6719,789227.8936,1341699.094,1217067.582,860179.8271
28,1296028.813,1091124.653,2071553.881,1061885.002,1046708.414,1031285.959,1286200.428,1143168.958,991935.8145,1020915.796,746791.5469,1155306.803,1642717.299,1354837.785,1138277.426,1487584.539,1130568.742,1895849.02,1508265.525,1711108.875,928762.4863,1218481.077,977004.6787,1078580.683,1098022.568,915968.9717,1928122.965,1579955.039,1473380.137,1016142.43,1043394.249,890777.5557,810003.3887,1516281.49,1991236.627,956982.1094,1945425.385,1381909.119,1054073.05,1146968.393,883777.1631,933307.6611,1474237.537,853052.3828,1112793.617,1062475.155,974353.3984,1611092.34,1035442.219,1195979.033,1023360.937,1129919.839,1274575.828,1029524.492,565081.8506,1127592.504,948997.0703,1103125.724,812175.0195,1685786.697,1123105.894,972094.9121,964734.3203,1159616.107,1387602.129,1095716.484,1034754.122,966812.4883,1057623.924,1519974.67,1174564.223,968461.7051,1091089.759,1442513.783,1907718.871,1159108.677,1235603.02,1428786.102,941994.707,1058964.702,1367594,1073051.461,1408014.668,1060634.065,1008082.571,996960.6934,1717594.881,989637.1299,1358903.236,1034946.57,1206319.462,1052147.915,1035838.12,917521.5605,1005243.379,663173.7549,444069.0596,1041476.024,812097.3301,799729.4209,1370463.906,1232148.641,874310.2441
29,1317957.76,1109053.898,2096142.553,1078338.699,1067583.864,1044746.843,1307121.719,1166223.901,1004354.28,1038461.077,758979.4609,1175558.588,1671144.102,1380493.547,1159400.6,1518427.695,1149079.971,1933660.293,1536913.936,1734165.797,942812.4473,1235653.407,989224.5029,1093202.598,1110676.354,927559.416,1947269.619,1608880.271,1490875.83,1031288.938,1059680.583,907062.8008,825468.834,1547116.348,2016354.295,969848.0684,1971012.227,1409182.166,1070935.56,1167390.238,897379.4902,949012.1611,1507713.91,869503.2852,1125924.227,1079776.921,988824.084,1634530.242,1052510.453,1217116.723,1039319.125,1149875.865,1295243.689,1046133.754,575635.4678,1148562.285,967064.4229,1119999.729,819887.1162,1716758.523,1140172.969,982959.8057,978506.2422,1181116.381,1407192.268,1109973.729,1047091.392,987409.917,1076902.028,1549532.348,1195578.598,985343.9629,1102304.431,1474118.953,1933695.531,1168407.214,1253969.914,1456675.354,957371.2422,1070339.841,1385066.326,1090870.116,1438738.848,1083058.712,1022499.213,1011114.381,1751882.119,1006757.454,1387920.326,1051307.283,1228254.087,1063506.107,1044687.916,929138.7695,1021333.695,674531.3477,449650.0146,1052077.553,834191.0449,810119.7939,1395355.766,1255284.66,890064.6436
30,1341496.291,1121550.705,2135656.193,1106291.263,1084007.895,1061864.546,1326608.064,1188771.878,1018411.509,1058708.059,771468.665,1199814.994,1698954.42,1408286.549,1180651.932,1539011.537,1170731.688,1965598.783,1571966.676,1754802.865,961992.0488,1254069.064,1007726.1,1112564.038,1127455.564,951194.9316,1984245.41,1636443.219,1512152.078,1045031.855,1069633.567,918860.9746,838557.0254,1580817.428,2039297.646,981054.1582,1993193.877,1433483.855,1086602.028,1183191.955,908496.916,968984.5635,1539425.545,884931.2881,1143525.553,1100415.436,1001248.749,1659194.395,1067480.805,1239878.588,1059818.438,1167399.932,1310656.852,1066153.959,584519.9443,1167552.203,983927.9658,1136406.827,832166.874,1749680.758,1165654.872,995179.8545,991349.1279,1203196.501,1429039.627,1125440.9,1062443.261,1004691.721,1091505.477,1571569.143,1215344.371,999153.1045,1111465.941,1500704.975,1958691.387,1181226.114,1262902.684,1486803.682,975094.6904,1086799.82,1400139.184,1115725.516,1460098.959,1102525.566,1036678.357,1026938.864,1785914.072,1034474.529,1411134.061,1064848.773,1249759.177,1075541.644,1055323.428,940340.5313,1036867.675,684848.7236,456415.7368,1069874.402,850409.6299,827702.5723,1424346.072,1276418.76,906741.6465
31,1363993.447,1144679.393,2160174.176,1129945.605,1107461.431,1084980.405,1349710.475,1208000.64,1032351.642,1077635.742,783474.4033,1221329.191,1735135.391,1435081.682,1200178.59,1561139.178,1192112.054,1995572.045,1593794.287,1778128.09,979094.5303,1271098.176,1023675.887,1130005.147,1138784.496,964259.4785,2011598.715,1664906.078,1544651.602,1061802.501,1077946.911,933005.04,850032.7578,1606715.941,2062507.764,990246.1396,2011340.684,1463122.842,1102965.205,1199371.625,924429.3467,990841.668,1568176.648,899744.9336,1154224.399,1114259.888,1011576.539,1686310.617,1082190.578,1267572.518,1077609.088,1176963.475,1331434.885,1084835.631,593598.6836,1186620.057,999829.3457,1156444.344,840781.0928,1775316.65,1183915.349,1008312.675,1010947.184,1225156.392,1452051.096,1140310.651,1073606.284,1021627.933,1108836.915,1592219.725,1236414.826,1011193.474,1121179.454,1526490.992,1983390.969,1203120.373,1276994.598,1510510.777,993231.3809,1094740.168,1416441.244,1130573.954,1482366.104,1127215.269,1047470.049,1042375.629,1811595.277,1054564.892,1435984.748,1078984.946,1273957.356,1083870.096,1072047.364,952903.2822,1051385.758,693847.8047,462913.9629,1079303.418,867566.2266,840772.7148,1439099.795,1294970.693,923576.2012
32,1388020.582,1166571.805,2179353.57,1147549.678,1128685.723,1099938.707,1373784.563,1227555.035,1042997.024,1096013.333,794631.8086,1241359.686,1763879.727,1460315.4,1226793.027,1580849.076,1216173.146,2024701.596,1618553.893,1798519.678,995254.251,1284589.486,1039212.877,1150978.981,1157368.373,980987,2030739.605,1689101.125,1562873.217,1076901.301,1099420.526,950221.0146,857739.7695,1639338.287,2084203.236,999671.0205,2039177.5,1486191.57,1119757.793,1220028.889,937013.4434,1008661.165,1598848.988,916604.3154,1169853.399,1128332.761,1026589.542,1719914.889,1107359.326,1292786.361,1100884.545,1194801.605,1351948.773,1101159.443,601802.9238,1206107.707,1015783.483,1174676.359,848968.2783,1799893.852,1197405.108,1019151.741,1028358.087,1254079.032,1489033.137,1159592.793,1085293.704,1038431.987,1127538.697,1620445.021,1254842.705,1028755.391,1133407.583,1552840.449,2002124.057,1228135.939,1289752.48,1533678.943,1005919.839,1106724.598,1434581.484,1143199.159,1499838.17,1150980.098,1060813.738,1056174.595,1835396.004,1071475.305,1461043.73,1094354.664,1292526.524,1090787.105,1078486.732,964634.9287,1066130.557,704438.6719,470381.0317,1088500.793,882346.3594,854098.7012,1462542.941,1313191.805,938443.293
